AIRCRAFT_TYPE,Description,AIRLINE_ID,UNIQUE_CARRIER_NAME,2019,2020,2021,2022
614,Boeing 737-800,19977.0,United Air Lines Inc.,17391170.0,6011654.0,12549905.0,17844269.0
614,Boeing 737-800,20207.0,TEM Enterprises dba  Avelo Airlines,0.0,0.0,270195.0,530199.0
614,Boeing 737-800,20422.0,Sun Country Airlines d/b/a MN Airlines,2893266.0,1366854.0,2355208.0,3094072.0
617,Boeing 737-400,22080.0,Breeze Aviation Group DBA  Breeze,0.0,0.0,0.0,121.0
622,Boeing 757-200,19790.0,Delta Air Lines Inc.,15940340.0,5471878.0,9420742.0,14895208.0
622,Boeing 757-200,19805.0,American Airlines Inc.,2816361.0,679107.0,0.0,0.0
622,Boeing 757-200,19977.0,United Air Lines Inc.,4805304.0,1210135.0,1668633.0,2020634.0
623,Boeing 757-300,19790.0,Delta Air Lines Inc.,3442881.0,1328438.0,2700051.0,3224323.0
623,Boeing 757-300,19977.0,United Air Lines Inc.,3370117.0,1388412.0,2618523.0,2182398.0
624,Boeing 767-400/ER,19790.0,Delta Air Lines Inc.,589705.0,220630.0,2209014.0,675201.0
624,Boeing 767-400/ER,19977.0,United Air Lines Inc.,210486.0,79082.0,204464.0,361958.0
625,Boeing 767-200/ER/EM,21492.0,"Eastern Airlines f/k/a Dynamic Airways, LLC",0.0,185.0,0.0,0.0
626,Boeing 767-300/300ER,19690.0,Hawaiian Airlines Inc.,3174.0,0.0,0.0,0.0
626,Boeing 767-300/300ER,19790.0,Delta Air Lines Inc.,1236758.0,954639.0,2727417.0,2905784.0
626,Boeing 767-300/300ER,19805.0,American Airlines Inc.,1079087.0,250009.0,0.0,0.0
626,Boeing 767-300/300ER,19977.0,United Air Lines Inc.,410400.0,275674.0,1191912.0,507838.0
626,Boeing 767-300/300ER,21492.0,"Eastern Airlines f/k/a Dynamic Airways, LLC",0.0,140.0,0.0,80.0
627,Boeing 777-200ER/200LR/233LR,19790.0,Delta Air Lines Inc.,194825.0,69268.0,0.0,0.0
627,Boeing 777-200ER/200LR/233LR,19805.0,American Airlines Inc.,1113006.0,521320.0,2498355.0,830966.0
627,Boeing 777-200ER/200LR/233LR,19977.0,United Air Lines Inc.,3894658.0,1217319.0,1245267.0,3579226.0
628,Canadair RJ-100/RJ-100ER,21712.0,Elite Airways LLC,2271.0,0.0,0.0,0.0
629,Canadair RJ-200ER /RJ-440,20046.0,Air Wisconsin Airlines Corp,4106349.0,1431613.0,3380271.0,2697430.0
629,Canadair RJ-200ER /RJ-440,20304.0,SkyWest Airlines Inc.,13610370.0,4997625.0,6772580.0,6500788.0
629,Canadair RJ-200ER /RJ-440,20363.0,Endeavor Air Inc.,2796979.0,1303067.0,2699179.0,2294608.0
629,Canadair RJ-200ER /RJ-440,20366.0,ExpressJet Airlines LLC d/b/a aha!,303015.0,0.0,0.0,0.0
629,Canadair RJ-200ER /RJ-440,20378.0,Mesa Airlines Inc.,11369.0,99.0,0.0,0.0
