ORIGIN_AIRPORT_ID,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10136,ABI,"Abilene, TX: Abilene Regional",19805.0,American Airlines Inc.,699,Airbus Industrie A321/Lr,87.0,138.0,,501.0
10136,ABI,"Abilene, TX: Abilene Regional",19977.0,United Air Lines Inc.,614,Boeing 737-800,146.0,,,
10136,ABI,"Abilene, TX: Abilene Regional",19977.0,United Air Lines Inc.,694,Airbus Industrie A320-100/200,266.0,,,
10136,ABI,"Abilene, TX: Abilene Regional",19977.0,United Air Lines Inc.,698,Airbus Industrie A319,213.0,,85.0,106.0
10136,ABI,"Abilene, TX: Abilene Regional",19977.0,United Air Lines Inc.,888,Boeing 737-900ER,167.0,144.0,,
10136,ABI,"Abilene, TX: Abilene Regional",20366.0,ExpressJet Airlines LLC d/b/a aha!,675,Embraer-145,0.0,,,
10136,ABI,"Abilene, TX: Abilene Regional",20398.0,Envoy Air,673,Embraer ERJ-175,1950.0,1035.0,2286.0,7628.0
10136,ABI,"Abilene, TX: Abilene Regional",20398.0,Envoy Air,675,Embraer-145,22036.0,22015.0,59420.0,63146.0
10136,ABI,"Abilene, TX: Abilene Regional",20398.0,Envoy Air,676,Embraer-140,59139.0,20102.0,4985.0,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19393.0,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,1079593.0,358953.0,465904.0,597675.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19393.0,Southwest Airlines Co.,614,Boeing 737-800,245157.0,93502.0,271025.0,423440.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19393.0,Southwest Airlines Co.,838,Boeing B737 Max 800,6772.0,,33149.0,44899.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19687.0,Horizon Air,673,Embraer ERJ-175,7768.0,4745.0,11733.0,4021.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,614,Boeing 737-800,48343.0,474.0,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,622,Boeing 757-200,964.0,327.0,169.0,331.0
