ORIGIN_AIRPORT_ID,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10405,"Atmautluak, AK: Atmautluak Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,8.0,7.0,19.0,36.0,33.0,23.0,33.0,39.0,39.0,51.0,46.0,29.0,363.0
10416,"Alakanuk, AK: Alakanuk Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,112.0,150.0,111.0,113.0,132.0,118.0,121.0,140.0,129.0,165.0,155.0,97.0,1543.0
10551,"Bethel, AK: Bethel Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,186.0,232.0,188.0,287.0,209.0,172.0,197.0,206.0,259.0,213.0,283.0,142.0,2574.0
11227,"Chefornak, AK: Chefornak Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,10.0,12.0,15.0,21.0,5.0,16.0,4.0,9.0,15.0,5.0,15.0,4.0,131.0
11492,"Eek, AK: Eek Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,23.0,16.0,15.0,21.0,16.0,14.0,23.0,29.0,32.0,30.0,30.0,16.0,265.0
11550,"Emmonak, AK: Emmonak Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,255.0,279.0,235.0,275.0,250.0,273.0,240.0,315.0,302.0,353.0,310.0,197.0,3284.0
12708,"Kongiganak, AK: Kongiganak Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,25.0,26.0,22.0,42.0,28.0,22.0,28.0,18.0,33.0,13.0,24.0,11.0,292.0
12769,"Kotlik, AK: Kotlik Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,110.0,79.0,87.0,118.0,103.0,128.0,97.0,162.0,142.0,156.0,128.0,81.0,1391.0
12779,"Kipnuk, AK: Kipnuk Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,10.0,13.0,18.0,18.0,9.0,12.0,8.0,18.0,21.0,5.0,19.0,4.0,155.0
12807,"St. Mary's, AK: St. Mary's Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,2.0,4.0,6.0,3.0,3.0,,1.0,5.0,4.0,,7.0,1.0,36.0
12831,"Kasigluk, AK: Kasigluk Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,13.0,13.0,15.0,26.0,37.0,26.0,43.0,39.0,46.0,45.0,42.0,22.0,367.0
12851,"Kwigillingok, AK: Kwigillingok Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,17.0,13.0,17.0,17.0,24.0,13.0,32.0,12.0,17.0,7.0,15.0,7.0,191.0
12853,"Quinhagak, AK: Quinhagak Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,26.0,31.0,20.0,26.0,16.0,11.0,18.0,17.0,21.0,19.0,19.0,10.0,234.0
13369,"Marshall, AK: Marshall Don Hunter Sr.",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,10.0,4.0,4.0,6.0,5.0,6.0,6.0,10.0,6.0,8.0,15.0,3.0,83.0
