ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
11193,CVG,KY,Cincinnati/Northern Kentucky International,Cincinnati,51086,27356,34987,37659
11197,CVN,NM,Clovis Regional,Clovis,964,737,618,624
11203,CWA,WI,Central Wisconsin,Mosinee,3443,2062,2804,1798
11233,CYS,WY,Cheyenne Regional/Jerry Olson Field,Cheyenne,566,148,205,652
11252,DAB,FL,Daytona Beach International,Daytona Beach,3408,2547,3302,2749
11259,DAL,TX,Dallas Love Field,Dallas,72512,48999,56938,64115
11267,DAY,OH,James M Cox/Dayton International,Dayton,16404,8601,10789,9799
11274,DBQ,IA,Dubuque Regional,Dubuque,985,453,562,441
11278,DCA,VA,Ronald Reagan Washington National,Washington,139960,63918,83542,141620
11288,DEC,IL,Decatur Airport,Decatur,1842,794,599,1005
11292,DEN,CO,Denver International,Denver,288617,199642,267640,277694
11298,DFW,TX,Dallas/Fort Worth International,Dallas/Fort Worth,302386,218379,275116,272740
11308,DHN,AL,Dothan Regional,Dothan,1382,879,1062,933
11315,DIK,ND,Dickinson - Theodore Roosevelt Regional,Dickinson,613,441,532,574
11337,DLH,MN,Duluth International,Duluth,3274,1965,2458,2301
11413,DRO,CO,Durango La Plata County,Durango,4225,2725,4370,3573
11415,DRT,TX,Del Rio International,Del Rio,714,422,642,683
11423,DSM,IA,Des Moines International,Des Moines,18251,11798,14349,14656
11433,DTW,MI,Detroit Metro Wayne County,Detroit,175364,107378,129516,125239
11447,DVL,ND,Devils Lake Regional,Devils Lake,598,573,633,622
11468,EAR,NE,Kearney Regional,Kearney,655,708,941,688
11470,EAT,WA,Pangborn Memorial,Wenatchee,1143,699,794,586
11471,EAU,WI,Chippewa Valley Regional,Eau Claire,698,684,712,494
11481,ECP,FL,Northwest Florida Beaches International,Panama City,6565,6595,9915,7349
11503,EGE,CO,Eagle County Regional,Eagle,2291,1883,2848,2816
11525,EKO,NV,Elko Regional,Elko,672,544,671,361
11537,ELM,NY,Elmira/Corning Regional,Elmira/Corning,2726,1181,1062,1001
11540,ELP,TX,El Paso International,El Paso,19490,10716,14265,17845
11577,ERI,PA,Erie International/Tom Ridge Field,Erie,2539,1470,1546,1386
11587,ESC,MI,Delta County,Escanaba,605,577,675,693
11603,EUG,OR,Mahlon Sweet Field,Eugene,8802,6295,8674,9285
11612,EVV,IN,Evansville Regional,Evansville,5434,3568,3929,2627
11617,EWN,NC,Coastal Carolina Regional,New Bern/Morehead/Beaufort,2524,1471,1474,1235
11618,EWR,NJ,Newark Liberty International,Newark,154377,73283,99639,140548
11624,EYW,FL,Key West International,Key West,8418,6626,11641,9319
11637,FAR,ND,Hector International,Fargo,7413,4989,6436,6181
11638,FAT,CA,Fresno Yosemite International,Fresno,12713,8022,11894,10663
11641,FAY,NC,Fayetteville Regional/Grannis Field,Fayetteville,4077,2782,3396,2877
11648,FCA,MT,Glacier Park International,Kalispell,4727,4170,5706,4426
11695,FLG,AZ,Flagstaff Pulliam,Flagstaff,2482,1815,2883,1998
11697,FLL,FL,Fort Lauderdale-Hollywood International,Fort Lauderdale,100867,62377,88122,84328
11699,FLO,SC,Florence Regional,Florence,1223,609,726,781
11719,FNL,CO,Northern Colorado Regional,Fort Collins/Loveland,0,0,30,96
11721,FNT,MI,Bishop International,Flint,4291,3170,3383,3216
11762,FRD,WA,Friday Harbor Airport,Friday Harbor,2299,1033,1982,2256
11775,FSD,SD,Joe Foss Field,Sioux Falls,8463,5971,8252,7544
11778,FSM,AR,Fort Smith Regional,Fort Smith,2134,1199,1298,1384
11823,FWA,IN,Fort Wayne International,Fort Wayne,7654,5419,6067,5847
11865,GCC,WY,Northeast Wyoming Regional,Gillette,756,558,739,618
11867,GCK,KS,Garden City Regional,Garden City,701,624,708,708
11884,GEG,WA,Spokane International,Spokane,22053,16110,19531,19818
11898,GFK,ND,Grand Forks International,Grand Forks,2098,1205,1271,1401
11905,GGG,TX,East Texas Regional,Longview,941,649,898,772
11921,GJT,CO,Grand Junction Regional,Grand Junction,5221,3659,5255,3908
11953,GNV,FL,Gainesville Regional,Gainesville,5160,3147,3745,3670
11973,GPT,MS,Gulfport-Biloxi International,Gulfport/Biloxi,4572,3411,4045,3734
11977,GRB,WI,Green Bay Austin Straubel International,Green Bay,6225,4024,5211,4845
11980,GRI,NE,Central Nebraska Regional,Grand Island,1116,796,921,923
11982,GRK,TX,Robert Gray AAF,Killeen,3369,2179,2988,2060
11986,GRR,MI,Gerald R. Ford International,Grand Rapids,21422,13269,17379,16526
11995,GSO,NC,Piedmont Triad International,Greensboro/High Point,18342,9110,11196,12066
11996,GSP,SC,Greenville-Spartanburg International,Greer,17916,10558,13594,13953
12003,GTF,MT,Great Falls International,Great Falls,3141,2335,3053,2294
12007,GTR,MS,Golden Triangle Regional,Columbus,1188,891,995,1018
12012,GUC,CO,Gunnison-Crested Butte Regional,Gunnison,787,670,903,981
12094,HDN,CO,Yampa Valley,Hayden,1731,1550,2463,2465
12119,HGR,MD,Hagerstown Regional-Richard A. Henson Field,Hagerstown,1159,164,178,211
12124,HHH,SC,Hilton Head Airport,Hilton Head,2182,1957,4053,2184
12129,HIB,MN,Range Regional,Hibbing,627,586,632,640
12156,HLN,MT,Helena Regional,Helena,2436,1580,1712,1576
12177,HOB,NM,Lea County Regional,Hobbs,740,385,417,569
12191,HOU,TX,William P Hobby,Houston,58673,39468,47183,49666
12197,HPN,NY,Westchester County,White Plains,14247,5295,8814,14454
12206,HRL,TX,Valley International,Harlingen/San Benito,4499,3049,3920,4695
12217,HSV,AL,Huntsville International-Carl T Jones Field,Huntsville,11460,6791,8777,9207
12223,HTS,WV,Tri-State/Milton J. Ferguson Field,Ashland,1564,1002,1300,1119
12244,HVN,CT,Tweed New Haven,New Haven,1071,352,382,2854
12250,HYA,MA,Cape Cod Gateway,Hyannis,5937,3688,4574,2774
12255,HYS,KS,Hays Regional,Hays,1199,813,612,682
12264,IAD,VA,Washington Dulles International,Washington,92585,54249,77576,75817
12265,IAG,NY,Niagara Falls International,Niagara Falls,836,482,378,388
12266,IAH,TX,George Bush Intercontinental/Houston,Houston,178839,101074,150876,147799
12278,ICT,KS,Wichita Dwight D Eisenhower National,Wichita,11688,7922,9478,9800
12280,IDA,ID,Idaho Falls Regional,Idaho Falls,2894,2221,3956,4652
12323,ILM,NC,Wilmington International,Wilmington,8902,5521,7544,8137
