ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
10556,BFB,AK,Blue Fox Bay Airport,Blue Fox Bay,6.0,1.0,0.0,3.0
10557,BFD,PA,Bradford Regional,Bradford,4267.0,2114.0,3286.0,4358.0
10558,BFF,NE,Western Neb. Regional/William B. Heilig Field,Scottsbluff,24290.0,9554.0,16441.0,24273.0
10559,BFI,WA,Boeing Field/King County International,Seattle,11394.0,4078.0,9247.0,9785.0
10561,BFL,CA,Meadows Field,Bakersfield,129680.0,83925.0,131673.0,141934.0
10562,BFM,AL,Mobile International,Mobile,21434.0,4111.0,56.0,0.0
10577,BGM,NY,Greater Binghamton/Edwin A. Link Field,Binghamton,38114.0,8492.0,10159.0,13409.0
10581,BGR,ME,Bangor International,Bangor,309470.0,124198.0,290335.0,351167.0
10589,BHB,ME,Hancock County-Bar Harbor,Bar Harbor,9251.0,2774.0,8238.0,8205.0
10590,IFP,AZ,Laughlin/Bullhead International,Bullhead City,618.0,0.0,0.0,1345.0
10599,BHM,AL,Birmingham-Shuttlesworth International,Birmingham,1555698.0,637321.0,1104090.0,1352689.0
10613,BID,RI,Block Island State,Block Island,16845.0,12343.0,16294.0,14190.0
10617,BIH,CA,Bishop Airport,Bishop,0.0,0.0,1157.0,10747.0
10620,BIL,MT,Billings Logan International,Billings,464458.0,241668.0,380918.0,387814.0
10627,BIS,ND,Bismarck Municipal,Bismarck/Mandan,310137.0,150784.0,213822.0,242419.0
10631,BJI,MN,Bemidji Regional,Bemidji,29341.0,15951.0,25390.0,25264.0
10640,BKC,AK,Buckland Airport,Buckland,4121.0,1547.0,2400.0,3295.0
10643,BKG,MO,Branson Airport,Branson,27383.0,7066.0,10096.0,5999.0
10654,BKW,WV,Raleigh County Memorial,Beckley,11392.0,7423.0,18884.0,17586.0
10661,BLD,NV,Boulder City Municipal,Boulder City,291.0,144.0,621.0,583.0
10666,BLI,WA,Bellingham International,Bellingham,329722.0,93347.0,155230.0,320487.0
10676,BLV,IL,Scott AFB MidAmerica St Louis,Belleville,152900.0,108388.0,160128.0,163259.0
10683,BMG,IN,Monroe County,Bloomington,0.0,0.0,0.0,0.0
10685,BMI,IL,Central Il Regional Airport at Bloomington,Bloomington/Normal,208581.0,89754.0,158402.0,173499.0
10693,BNA,TN,Nashville International,Nashville,8975918.0,4093358.0,7733619.0,9854277.0
10697,BNF,AK,Warm Spring Bay Seaplane Base,Baranof,0.0,0.0,3.0,3.0
10713,BOI,ID,Boise Air Terminal,Boise,2079281.0,996215.0,1822907.0,2239699.0
10721,BOS,MA,Logan International,Boston,16788125.0,5256846.0,9877115.0,14499807.0
10728,BPT,TX,Jack Brooks Regional,Beaumont/Port Arthur,29056.0,15864.0,21697.0,24699.0
10731,BQK,GA,Brunswick Golden Isles,Brunswick,40468.0,19117.0,35805.0,34149.0
10732,BQN,PR,Rafael Hernandez,Aguadilla,369187.0,75313.0,228524.0,345703.0
10739,BRD,MN,Brainerd Lakes Regional,Brainerd,21486.0,11497.0,18457.0,21816.0
10744,BRL,IA,Southeast Iowa Regional,Burlington,8058.0,2676.0,3547.0,3654.0
10747,BRO,TX,Brownsville South Padre Island International,Brownsville,124879.0,60530.0,113373.0,126613.0
10754,BRW,AK,Wiley Post/Will Rogers Memorial,Barrow,62435.0,28013.0,31530.0,36675.0
10775,BTI,AK,Barter Island Airport,Barter Island,2364.0,1127.0,1816.0,2130.0
10778,BTL,MI,Battle Creek Executive at Kellogg Field,Battle Creek,0.0,0.0,0.0,0.0
10779,BTM,MT,Bert Mooney,Butte,25926.0,12276.0,16596.0,17991.0
10781,BTR,LA,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,397646.0,175899.0,275129.0,327822.0
10783,BTT,AK,Bettles Airport,Bettles,2605.0,1285.0,2157.0,2741.0
10785,BTV,VT,Burlington International,Burlington,685973.0,211978.0,382020.0,601002.0
10792,BUF,NY,Buffalo Niagara International,Buffalo,2461186.0,705014.0,1425731.0,2003174.0
10800,BUR,CA,Bob Hope,Burbank,3053832.0,1021123.0,1944501.0,3074069.0
10821,BWI,MD,Baltimore/Washington International Thurgood Marshall,Baltimore,12918239.0,5332981.0,9011432.0,10758628.0
10849,BZN,MT,Bozeman Yellowstone International,Bozeman,783237.0,445207.0,979263.0,1136060.0
10857,C01,CA,Camarillo Airport,Camarillo,37.0,5.0,12.0,16.0
10868,CAE,SC,Columbia Metropolitan,Columbia,649589.0,273206.0,420458.0,513317.0
10874,CAK,OH,Akron-Canton Regional,Akron,403754.0,143097.0,200786.0,262249.0
10917,CDB,AK,Cold Bay Airport,Cold Bay,10000.0,9155.0,9287.0,8173.0
10918,CDC,UT,Cedar City Regional,Cedar City,23230.0,5936.0,12057.0,11459.0
10925,CDR,NE,Chadron Municipal,Chadron,4268.0,2462.0,2891.0,3641.0
10926,CDV,AK,Merle K Mudhole Smith,Cordova,39166.0,20048.0,28373.0,31626.0
10930,CEC,CA,Jack McNamara Field,Crescent City,9530.0,4042.0,7644.0,7530.0
10938,CEM,AK,Central Airport,Central,204.0,86.0,163.0,216.0
10950,CEZ,CO,Cortez Municipal,Cortez,8798.0,5638.0,6177.0,7000.0
10961,CGA,AK,Craig Seaplane Base,Craig,1175.0,205.0,136.0,82.0
10967,CGI,MO,Cape Girardeau Regional,Cape Girardeau,16458.0,4640.0,9079.0,11099.0
10980,CHA,TN,Lovell Field,Chattanooga,556934.0,227102.0,379100.0,435939.0
