ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,Latitude,Longitude
13832,OGS,NY,Ogdensburg International,Ogdensburg,10k-100k,yes,N,loss,-36.7,at least -30%,44.6820927,-75.4768298
14025,PBG,NY,Plattsburgh International,Plattsburgh,100k-1 million,yes,N,loss,-28.8,at least -20%,44.6520597,-73.4679203
11203,CWA,WI,Central Wisconsin,Mosinee,100k-1 million,no,N,loss,-47.8,at least -30%,44.523165,-89.5831373
11097,COD,WY,Yellowstone Regional,Cody,10k-100k,yes,N,loss,-12.1,at least -10%,44.5170669,-109.0227432
11977,GRB,WI,Green Bay Austin Straubel International,Green Bay,100k-1 million,no,N,loss,-22.2,at least -20%,44.4923396,-88.1277541
10785,BTV,VT,Burlington International,Burlington,100k-1 million,no,S,loss,-22.3,at least -20%,44.4706939,-73.1516037
14120,PIR,SD,Pierre Regional,Pierre,10k-100k,yes,N,loss,-2.2,less than -10%,44.38325,-100.29729
10408,ATW,WI,Appleton International,Appleton,100k-1 million,no,S,loss,-8.5,less than -10%,44.2605,-88.5111
14489,RDM,OR,Roberts Field,Bend/Redmond,100k-1 million,no,S,loss,-8.5,less than -10%,44.253025,-121.1608351
11603,EUG,OR,Mahlon Sweet Field,Eugene,100k-1 million,no,S,gain,5.5,less than 10%,44.1217811,-123.2159003
14457,RAP,SD,Rapid City Regional,Rapid City,100k-1 million,no,S,loss,-25.9,at least -20%,44.0805434,-103.2310149
10361,ART,NY,Watertown International,Watertown,10k-100k,yes,N,loss,-6.9,less than -10%,43.99431,-76.02332
14633,RST,MN,Rochester International,Rochester,100k-1 million,no,N,loss,-57.5,at least -30%,43.91087,-92.49038
13076,LSE,WI,La Crosse Regional,La Crosse,10k-100k,no,N,loss,-35,at least -30%,43.8137751,-91.2519017
14321,PWM,ME,Portland International Jetport,Portland,1-5 million,no,S,loss,-23.1,at least -20%,43.6464785,-70.3096974
12441,JAC,WY,Jackson Hole,Jackson,100k-1 million,no,S,loss,-0.8,less than -10%,43.612255,-110.7054295
11775,FSD,SD,Joe Foss Field,Sioux Falls,100k-1 million,no,S,loss,-10.9,at least -10%,43.5828065,-96.7402171
10713,BOI,ID,Boise Air Terminal,Boise,1-5 million,no,M,gain,1.5,less than 10%,43.5658231,-116.222316
13184,MBS,MI,MBS International,Saginaw/Bay City/Midland,100k-1 million,no,N,loss,-44.8,at least -30%,43.5386272,-84.0821024
15041,SUN,ID,Friedman Memorial,Sun Valley/Hailey/Ketchum,10k-100k,no,N,gain,14.3,at least 10%,43.5065471,-114.3012455
12280,IDA,ID,Idaho Falls Regional,Idaho Falls,100k-1 million,no,N,gain,60.7,at least 30%,43.4926607,-112.0407584
10268,ALO,IA,Waterloo Regional,Waterloo,10k-100k,yes,N,gain,0.7,less than 10%,42.55058,-92.39661
13964,OTH,OR,Southwest Oregon Regional,North Bend/Coos Bay,10k-100k,no,N,loss,-8.8,less than -10%,43.4159682,-124.2454791
13344,MKG,MI,Muskegon County,Muskegon,10k-100k,yes,N,gain,8.3,less than 10%,43.18949,-86.23829
14576,ROC,NY,Frederick Douglass Grtr Rochester International,Rochester,1-5 million,no,S,loss,-14.7,at least -10%,43.1565779,-77.6088465
13485,MSN,WI,Dane County Regional-Truax Field,Madison,1-5 million,no,S,loss,-26.7,at least -20%,43.1388867,-89.336925
15096,SYR,NY,Syracuse Hancock International,Syracuse,1-5 million,no,S,loss,-11.7,at least -10%,43.1139223,-76.1136982
12265,IAG,NY,Niagara Falls International,Niagara Falls,100k-1 million,no,N,loss,-53.6,at least -30%,43.1085782,-78.9471144
14259,PSM,NH,Portsmouth International at Pease,Portsmouth,10k-100k,no,N,loss,-13.5,at least -10%,43.0880873,-70.8086121
11865,GCC,WY,Northeast Wyoming Regional,Gillette,10k-100k,no,N,loss,-18.3,at least -10%,43.0759678,-107.2902839
14534,RIW,WY,Central Wyoming Regional,Riverton/Lander,10k-100k,no,N,loss,-61.7,at least -30%,43.0759678,-107.2902839
11721,FNT,MI,Bishop International,Flint,100k-1 million,no,N,loss,-25.1,at least -20%,42.97397,-83.73952
10617,BIH,CA,Bishop Airport,Bishop,less than 10k,no,,gain,,other,37.3714,-118.3661
13342,MKE,WI,General Mitchell International,Milwaukee,1-5 million,no,M,loss,-23.4,at least -20%,42.9438438,-87.9008518
10792,BUF,NY,Buffalo Niagara International,Buffalo,1-5 million,no,S,loss,-27,at least -20%,42.9397059,-78.7295067
13296,MHT,NH,Manchester Boston Regional,Manchester,100k-1 million,no,S,loss,-32.1,at least -30%,42.929687,-71.4352177
11986,GRR,MI,Gerald R. Ford International,Grand Rapids,1-5 million,no,S,loss,-22.9,at least -20%,42.8825286,-85.524287
14113,PIH,ID,Pocatello Regional,Pocatello,10k-100k,no,N,loss,-66.7,at least -30%,42.8621042,-112.4506191
11122,CPR,WY,Casper/Natrona County International,Casper,10k-100k,no,N,loss,-23.6,at least -20%,42.848709,-106.2980824
12884,LAN,MI,Capital Region International,Lansing,100k-1 million,no,N,loss,-50.9,at least -30%,42.77529,-84.59021
10257,ALB,NY,Albany International,Albany,1-5 million,no,S,loss,-20.2,at least -20%,42.74817,-73.80257
15389,TWF,ID,Joslin Field - Magic Valley Regional,Twin Falls,10k-100k,no,N,loss,-66,at least -30%,42.48348,-114.48472
12397,ITH,NY,Ithaca Tompkins International,Ithaca/Cortland,100k-1 million,no,N,loss,-51.2,at least -30%,42.4439614,-76.5018807
11274,DBQ,IA,Dubuque Regional,Dubuque,10k-100k,no,N,loss,-55.2,at least -30%,42.4015826,-90.7094375
15048,SUX,IA,Sioux Gateway Brig Gen Bud Day Field,Sioux City,10k-100k,no,N,loss,-47.1,at least -30%,42.4008903,-96.3787307
13264,MFR,OR,Rogue Valley International - Medford,Medford,100k-1 million,no,S,loss,-13,at least -10%,42.3684768,-122.8740386
10721,BOS,MA,Logan International,Boston,more than 5 million,no,L,loss,-11.6,at least -10%,42.3660462,-71.015253
13933,ORH,MA,Worcester Regional,Worcester,10k-100k,no,N,loss,-2.9,less than -10%,42.2680093,-71.876337
10469,AZO,MI,Kalamazoo/Battle Creek International,Kalamazoo,100k-1 million,no,N,loss,-55.1,at least -30%,42.2314382,-85.5512496
11433,DTW,MI,Detroit Metro Wayne County,Detroit,more than 5 million,no,L,loss,-28.6,at least -20%,42.2132203,-83.3524824
10577,BGM,NY,Greater Binghamton/Edwin A. Link Field,Binghamton,10k-100k,no,N,loss,-60.5,at least -30%,42.2081084,-75.9820633
14512,RFD,IL,Chicago/Rockford International,Rockford,100k-1 million,no,N,loss,-1.8,less than -10%,42.2018417,-89.095819
11537,ELM,NY,Elmira/Corning Regional,Elmira/Corning,100k-1 million,no,N,loss,-63.3,at least -30%,42.1607611,-76.8926216
11577,ERI,PA,Erie International/Tom Ridge Field,Erie,100k-1 million,no,N,loss,-45.4,at least -30%,42.0851397,-80.17134
14306,PVC,MA,Provincetown Municipal,Provincetown,10k-100k,no,,loss,-29.5,at least -20%,42.0760536,-70.2169647
13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,L,loss,-25.7,at least -20%,41.9802412,-87.9089846
10529,BDL,CT,Bradley International,Hartford,1-5 million,no,M,loss,-18.4,at least -10%,41.9388735,-72.6860314
11003,CID,IA,The Eastern Iowa,Cedar Rapids/Iowa City,100k-1 million,no,S,loss,-20.9,at least -20%,41.88653,-91.70704
10558,BFF,NE,Western Neb. Regional/William B. Heilig Field,Scottsbluff,10k-100k,yes,N,gain,18.1,at least 10%,41.8696365,-103.5926208
13232,MDW,IL,Chicago Midway International,Chicago,more than 5 million,no,L,loss,-8.2,less than -10%,41.786477,-87.7508356
14307,PVD,RI,Rhode Island Tf Green International,Providence,1-5 million,no,S,loss,-14.8,at least -10%,41.723536,-71.426957
14696,SBN,IN,South Bend International,South Bend,100k-1 million,no,S,loss,-27.6,at least -20%,41.6763545,-86.2519898
12250,HYA,MA,Cape Cod Gateway,Hyannis,10k-100k,no,N,loss,-53.3,at least -30%,41.6673379,-70.2847445
14543,RKS,WY,Southwest Wyoming Regional,Rock Springs,10k-100k,no,N,loss,-45.5,at least -30%,41.5988254,-109.0718882
11423,DSM,IA,Des Moines International,Des Moines,1-5 million,no,S,loss,-19.7,at least -10%,41.5868353,-93.6249593
15295,TOL,OH,Eugene F Kranz Toledo Express,Toledo,100k-1 million,no,N,loss,-58.2,at least -30%,41.5857725,-83.8092594
15070,SWF,NY,New York Stewart International,Newburgh/Poughkeepsie,100k-1 million,no,N,loss,-70.5,at least -30%,41.4984032,-74.1008627
13367,MLI,IL,Quad Cities International,Moline,100k-1 million,no,N,loss,-33.4,at least -30%,41.4496341,-90.5082706
11042,CLE,OH,Cleveland-Hopkins International,Cleveland,1-5 million,no,M,loss,-25.3,at least -20%,41.4057985,-81.8538669
13541,MVY,MA,Martha's Vineyard Airport,Martha's Vineyard,10k-100k,no,N,loss,-0.8,less than -10%,41.3892707,-70.6122055
15855,WST,RI,Westerly State,Westerly,10k-100k,no,N,loss,-10.5,at least -10%,41.3775987,-71.8272871
10434,AVP,PA,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,100k-1 million,no,N,loss,-52.8,at least -30%,41.3377564,-75.7237821
12888,LAR,WY,Laramie Regional,Laramie,10k-100k,yes,N,loss,-2,less than -10%,41.3113669,-105.5911007
13871,OMA,NE,Eppley Airfield,Omaha,1-5 million,no,M,loss,-20.6,at least -20%,41.3014753,-95.8945207
10154,ACK,MA,Nantucket Memorial,Nantucket,100k-1 million,no,N,loss,-32.7,at least -30%,41.2834704,-70.099451
12244,HVN,CT,Tweed New Haven,New Haven,10k-100k,no,N,gain,166.5,at least 30%,41.2634247,-72.8863876
12365,IPT,PA,Williamsport Regional,Williamsport,10k-100k,no,,loss,-100,at least -30%,41.2411897,-77.0010786
13829,OGD,UT,Ogden-Hinckley,Ogden,10k-100k,no,N,loss,-13.9,at least -10%,41.1934018,-112.0088619
10613,BID,RI,Block Island State,Block Island,10k-100k,no,N,loss,-8.9,less than -10%,41.1616556,-71.5842643
11233,CYS,WY,Cheyenne Regional/Jerry Olson Field,Cheyenne,10k-100k,no,,gain,15.2,at least 10%,41.1529786,-104.8106149
