,ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category,1Q2019,2Q2019,3Q2019,4Q2019,1Q2020,2Q2020,3Q2020,4Q2020,1Q2021,2Q2021,3Q2021,4Q2021,1Q2022,2Q2022,3Q2022,4Q2022
136,11953,GNV,FL,Gainesville Regional,Gainesville,100k-1 million,no,loss,-28.9,at least -20%,63138,68543,64590,73644,58646,10059,25149,30089,29786,50046,54135,63344,57428,72847,65808,66091
137,11973,GPT,MS,Gulfport-Biloxi International,Gulfport/Biloxi,100k-1 million,no,loss,-18.3,at least -10%,63024,74163,71349,77342,55801,13625,34186,39953,35040,57921,62189,63047,52164,66556,63332,62049
138,11977,GRB,WI,Green Bay Austin Straubel International,Green Bay,100k-1 million,no,loss,-22.2,at least -20%,70750,86669,95615,87770,64631,5311,33956,33689,44817,62258,82900,68755,71100,74455,76908,72953
139,11980,GRI,NE,Central Nebraska Regional,Grand Island,10k-100k,yes,loss,-17.3,at least -10%,17442,17101,17115,17198,13053,3156,8776,11137,11568,13754,13457,15980,15397,14662,16464,18331
140,11982,GRK,TX,Robert Gray AAF,Killeen,100k-1 million,no,loss,-38.9,at least -30%,33222,38660,38237,35821,29470,8440,21400,25225,19856,37647,37824,32715,23633,27526,24173,22428
141,11986,GRR,MI,Gerald R. Ford International,Grand Rapids,1-5 million,no,loss,-22.9,at least -20%,448399,431299,460994,457064,389998,61305,196961,212392,264075,349116,430626,413022,418440,417869,452191,437868
142,11995,GSO,NC,Piedmont Triad International,Greensboro/High Point,1-5 million,no,loss,-34.2,at least -30%,231121,289498,279628,281903,193021,26114,79563,84648,69478,148287,194778,214496,160841,215209,208083,208155
143,11996,GSP,SC,Greenville-Spartanburg International,Greer,1-5 million,no,loss,-22.1,at least -20%,268334,333091,334602,340945,229765,41552,119290,125413,110654,221491,273099,288093,228322,292338,285499,283456
144,12003,GTF,MT,Great Falls International,Great Falls,100k-1 million,no,loss,-27.0,at least -20%,37029,43639,50665,43109,30972,6066,21148,21146,21090,35480,43630,32428,30406,34588,36758,40077
145,12007,GTR,MS,Golden Triangle Regional,Columbus,10k-100k,no,loss,-14.3,at least -10%,10580,12463,13053,13778,10178,964,4174,5228,4972,9588,9758,10216,9188,11083,10256,10505
146,12012,GUC,CO,Gunnison-Crested Butte Regional,Gunnison,10k-100k,no,gain,24.7,at least 20%,17579,3800,9694,5160,17523,301,5888,4828,14994,5212,10598,7952,23107,7445,13101,7115
147,12094,HDN,CO,Yampa Valley,Hayden,100k-1 million,no,gain,42.4,at least 30%,74106,7074,9548,15629,66920,852,6716,13294,71666,19190,27967,33925,116931,22004,28702,32966
148,12119,HGR,MD,Hagerstown Regional-Richard A. Henson Field,Hagerstown,10k-100k,no,loss,-81.8,at least -30%,5078,8603,9227,6154,3738,2914,4601,3072,2467,6302,8650,5687,6654,10020,9207,6171
149,12124,HHH,SC,Hilton Head Airport,Hilton Head,100k-1 million,no,gain,0.1,less than 10%,12442,33164,36812,27812,23760,7172,23446,19191,19653,59635,65325,31723,17132,37728,35429,24051
150,12129,HIB,MN,Range Regional,Hibbing,10k-100k,yes,gain,2.1,less than 10%,4167,3912,4815,4269,3407,589,2215,1813,2119,3116,4100,2985,3057,2874,3733,3199
151,12156,HLN,MT,Helena Regional,Helena,100k-1 million,no,loss,-35.3,at least -30%,27400,28992,32645,29263,21621,4623,10521,10209,10307,15356,23382,22397,19624,22144,20633,19922
152,12177,HOB,NM,Lea County Regional,Hobbs,10k-100k,no,loss,-23.1,at least -20%,5801,6473,6943,8548,6853,488,707,1032,907,2343,3333,5387,4343,4207,4496,4831
153,12191,HOU,TX,William P Hobby,Houston,more than 5 million,no,loss,-15.4,at least -10%,1592131,1790575,1701546,1745500,1265526,292988,661659,835406,912775,1478861,1502286,1489778,1293362,1624772,1642201,1624986
154,12197,HPN,NY,Westchester County,White Plains,100k-1 million,no,gain,1.5,less than 10%,193230,219680,224610,226042,173298,1246,13238,47091,78730,139812,141394,174219,163410,217106,252404,259593
155,12206,HRL,TX,Valley International,Harlingen/San Benito,100k-1 million,no,gain,4.4,less than 10%,87257,88129,79795,79574,80448,15410,30800,45630,53452,76037,88228,88899,91953,116568,108915,111283
156,12217,HSV,AL,Huntsville International-Carl T Jones Field,Huntsville,100k-1 million,no,loss,-19.7,at least -10%,153560,190048,185753,184213,129640,19198,59982,67620,59684,115014,138110,149826,119888,161183,155715,155514
157,12223,HTS,WV,Tri-State/Milton J. Ferguson Field,Ashland,100k-1 million,no,loss,-28.5,at least -20%,17465,33891,31852,23743,16615,13076,17636,10342,10359,28892,31061,23085,12870,28465,30235,17922
158,12244,HVN,CT,Tweed New Haven,New Haven,10k-100k,no,gain,166.5,at least 30%,9124,12439,13223,13856,7239,1290,2693,145,573,3359,3777,21851,48645,76282,115069,111694
159,12250,HYA,MA,Cape Cod Gateway,Hyannis,10k-100k,no,loss,-53.3,at least -30%,3500,5444,11358,3769,2241,1268,3960,2210,1980,3743,10171,3349,2012,4189,7775,1245
160,12255,HYS,KS,Hays Regional,Hays,10k-100k,yes,loss,-43.1,at least -30%,5787,7032,7384,7355,4720,875,2481,1271,1527,2885,3309,3365,2669,4567,4104,4586
161,12264,IAD,VA,Washington Dulles International,Washington,more than 5 million,no,loss,-18.1,at least -10%,1630586,2091155,2079662,2002298,1368617,219012,570880,774981,735233,1242225,1838649,1778714,1331062,1810327,1773166,1796995
162,12265,IAG,NY,Niagara Falls International,Niagara Falls,100k-1 million,no,loss,-53.6,at least -30%,35487,31090,27593,27847,30137,4549,3259,4142,6336,10927,12228,12977,14232,17109,12856,14254
163,12266,IAH,TX,George Bush Intercontinental/Houston,Houston,more than 5 million,no,loss,-17.4,at least -10%,3882148,4328398,4129339,4190696,3267465,466147,1328422,1893971,1945694,3327083,3927057,3919529,3331738,3967475,3872214,4126304
164,12278,ICT,KS,Wichita Dwight D Eisenhower National,Wichita,100k-1 million,no,loss,-16.2,at least -10%,190329,238003,227741,222997,159843,36507,91171,103658,90773,170295,189827,186422,151503,209669,218264,208687
165,12280,IDA,ID,Idaho Falls Regional,Idaho Falls,100k-1 million,no,gain,60.7,at least 30%,38769,44165,52818,41588,33269,11278,28115,28876,29219,46287,76185,68090,53169,98476,89986,68042
166,12323,ILM,NC,Wilmington International,Wilmington,100k-1 million,no,loss,-8.6,less than -10%,107680,146275,146286,140694,97113,19188,66700,62760,55836,122470,156304,129293,89126,145720,158792,143623
167,12335,IMT,MI,Ford,Iron Mountain/Kingsfd,10k-100k,yes,gain,8.1,less than 10%,4961,5220,6618,5407,4236,931,2888,2409,2188,3311,5050,4314,3893,5165,6773,5504
168,12339,IND,IN,Indianapolis International,Indianapolis,1-5 million,no,loss,-19.3,at least -10%,1076590,1234355,1161551,1200378,872424,179755,432015,501757,531033,908744,990161,1058356,934684,1113896,1063537,1088115
169,12343,INL,MN,Falls International Einarson Field,International Falls,10k-100k,yes,loss,-13.2,at least -10%,3078,4406,6830,2752,2927,203,1540,872,1041,1731,3724,1761,1890,2921,5498,1642
170,12365,IPT,PA,Williamsport Regional,Williamsport,10k-100k,no,loss,-100.0,at least -30%,3278,4749,6589,5640,3249,853,2595,150,460,1511,2139,0,0,0,0,0
171,12391,ISP,NY,Long Island MacArthur,Islip,100k-1 million,no,loss,-19.2,at least -10%,189683,179202,195532,216203,161142,15624,31549,55454,70867,134645,168484,182517,170836,168973,143850,133156
172,12397,ITH,NY,Ithaca Tompkins International,Ithaca/Cortland,100k-1 million,no,loss,-51.2,at least -30%,21913,27494,29658,30171,19362,2669,4710,6340,3791,12628,20458,20974,11831,17820,15510,11165
173,12441,JAC,WY,Jackson Hole,Jackson,100k-1 million,no,loss,-0.8,less than -10%,123359,80317,174483,65297,107467,11529,101544,55455,105980,107820,202635,80816,141220,10909,173334,74047
174,12448,JAN,MS,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,100k-1 million,no,gain,2.7,less than 10%,124349,147855,140577,138216,94348,17588,48440,53800,50154,116670,157808,160694,126559,172193,163604,170254
175,12451,JAX,FL,Jacksonville International,Jacksonville,1-5 million,no,loss,-17.5,at least -10%,810940,954859,872983,875767,631564,126187,291799,331905,332017,651484,697394,757644,671473,859684,807367,849118
176,12478,JFK,NY,John F. Kennedy International,New York,more than 5 million,no,gain,5.2,less than 10%,3286860,3692580,3673650,3456640,2589813,206108,533084,782648,975001,2140528,2804444,3024972,2829244,3688237,3786653,3691604
177,12511,JLN,MO,Joplin Regional,Joplin,10k-100k,no,loss,-52.9,at least -30%,8052,11011,14195,14367,10581,1971,6026,6379,4923,6062,8078,7417,4781,5627,5311,4943
178,12519,JMS,ND,Jamestown Regional,Jamestown,10k-100k,yes,loss,-24.6,at least -20%,4370,4423,5632,4828,4299,764,2732,2765,3431,5277,5754,5924,4941,4122,4472,4290
179,12544,USA,NC,Concord Padgett Regional,Concord,100k-1 million,no,loss,-39.1,at least -30%,34094,49959,47028,48045,32854,11772,19167,22360,17786,41567,40311,38404,29835,33990,27441,31333
180,12884,LAN,MI,Capital Region International,Lansing,100k-1 million,no,loss,-50.9,at least -30%,37345,40794,40705,44111,31980,3194,10927,12173,12577,22114,27946,27252,18115,21063,18458,20829
181,12888,LAR,WY,Laramie Regional,Laramie,10k-100k,yes,loss,-2.0,less than -10%,3539,4461,5156,5068,3591,587,2411,2346,1933,4533,4942,4763,3447,4185,4601,4474
182,12889,LAS,NV,Harry Reid International,Las Vegas,more than 5 million,no,gain,3.1,less than 10%,5328029,5943773,5922452,5783433,4587863,730504,2398096,2545188,2697832,4852527,5574392,5629212,5023242,6221878,6530159,6475196
183,12891,LAW,OK,Lawton-Fort Sill Regional,Lawton/Fort Sill,10k-100k,no,loss,-13.9,at least -10%,10911,14022,13823,12869,9057,2193,5288,5456,3697,10859,12879,11413,7631,12355,10627,10486
184,12892,LAX,CA,Los Angeles International,Los Angeles,more than 5 million,no,loss,-23.3,at least -20%,7020349,7962083,8105330,7475025,5558397,799300,2131181,2471442,2464431,5095486,6211428,6098320,5210607,6551358,6482261,6306087
185,12896,LBB,TX,Lubbock Preston Smith International,Lubbock,100k-1 million,no,loss,-16.8,at least -10%,118765,138934,136837,141526,99087,24619,60230,70680,65315,106604,113721,121644,97813,128393,134345,133170
186,12898,LBE,PA,Arnold Palmer Regional,Latrobe,100k-1 million,no,loss,-19.7,at least -10%,40188,43326,37612,34303,33072,4252,11166,13687,17921,43703,31502,29407,32699,32372,35166,22323
187,12899,LBF,NE,North Platte Regional Airport Lee Bird Field,North Platte,10k-100k,yes,gain,7.0,less than 10%,3261,4200,4427,4082,2953,1258,3060,2040,2122,3721,4244,3723,3325,2761,3395,3980
188,12902,LBL,KS,Liberal Mid-America Regional,Liberal,less than 10k,yes,loss,-1.3,less than -10%,1286,1649,1813,2175,1187,208,723,808,825,1667,1949,2126,1427,3921,3503,3563
189,12915,LCH,LA,Lake Charles Regional,Lake Charles,10k-100k,no,loss,-11.2,at least -10%,13090,15866,16281,17853,13736,4254,8587,5577,8665,13660,14451,15999,12649,16015,16418,16259
190,12917,LCK,OH,Rickenbacker International,Columbus,100k-1 million,no,loss,-6.3,less than -10%,25819,51122,44827,29727,24299,22808,31203,25936,24063,44487,47770,31447,24405,50652,44951,26995
191,12932,LEB,NH,Lebanon Municipal,Lebanon-Hanover,10k-100k,yes,loss,-0.6,less than -10%,1986,2534,2773,2798,1673,281,897,805,743,2035,2367,2347,1633,2640,2740,2596
192,12945,LEX,KY,Blue Grass,Lexington,100k-1 million,no,loss,-27.0,at least -20%,150422,189405,178049,187044,127492,26518,59289,70921,63781,123195,133005,140851,114956,161356,149259,146434
193,12951,LFT,LA,Lafayette Regional Paul Fournet Field,Lafayette,100k-1 million,no,loss,-3.5,less than -10%,58927,71709,68264,66069,46135,10480,29850,34017,30687,57468,59339,59085,45137,64467,56448,58622
194,12953,LGA,NY,LaGuardia,New York,more than 5 million,no,loss,-2.9,less than -10%,3071482,3788126,3779160,3647544,2475040,200679,545803,725581,809102,1659269,2223803,2985402,2595094,3711464,3744046,3678899
195,12954,LGB,CA,Long Beach Airport,Long Beach,1-5 million,no,loss,-4.1,less than -10%,391848,444120,462101,452865,339188,20024,68982,89443,112269,294829,315442,383828,359742,447895,452180,426807
196,12992,LIT,AR,Bill and Hillary Clinton Nat Adams Field,Little Rock,1-5 million,no,loss,-18.8,at least -10%,237413,299763,287220,280865,191560,43821,110008,126960,118951,229334,247275,248016,192846,271819,273894,270815
197,13002,LKE,WA,Lake Union Terminal,Seattle,10k-100k,no,loss,-28.8,at least -20%,1516,4060,4151,1811,924,317,3865,310,43,3881,7974,1171,961,2257,5924,1502
198,13029,LNK,NE,Lincoln Airport,Lincoln,100k-1 million,no,loss,-41.9,at least -30%,36542,43095,42164,41398,31026,3560,7834,8189,7500,18963,32444,30077,17156,21540,24643,27928
199,13061,LRD,TX,Laredo International,Laredo,10k-100k,no,loss,-19.8,at least -10%,19809,24131,22841,24037,17858,3377,8636,12116,11225,23855,26061,26566,22944,29442,30158,27756
200,13076,LSE,WI,La Crosse Regional,La Crosse,10k-100k,no,loss,-35.0,at least -30%,18851,24898,27352,23712,18406,2466,10813,11190,12442,21054,24564,22010,17697,16083,16754,11852
201,13121,LWB,WV,Greenbrier Valley,Lewisburg,10k-100k,yes,loss,-4.1,less than -10%,1311,3378,4640,3338,1118,269,1318,1081,515,2876,4393,2609,1804,5273,4985,2574
202,13127,LWS,ID,Lewiston Nez Perce County,Lewiston,10k-100k,no,gain,3.4,less than 10%,7629,9612,10654,10127,5417,920,4257,4818,4190,7496,9052,9983,9030,11954,11652,8982
203,13139,LYH,VA,Lynchburg Regional/Preston Glenn Field,Lynchburg,10k-100k,no,loss,-18.3,at least -10%,19746,22963,21924,26461,19331,4079,8026,12836,12059,19696,18511,18665,17300,18469,21014,18590
204,13158,MAF,TX,Midland International Air and Space Port,Midland/Odessa,100k-1 million,no,loss,-10.4,at least -10%,151825,180040,176790,181429,128651,33858,74473,90503,87566,137669,143796,155575,130107,174674,183661,173798
205,13184,MBS,MI,MBS International,Saginaw/Bay City/Midland,100k-1 million,no,loss,-44.8,at least -30%,31169,33618,34196,33599,24476,1468,10540,10689,10803,16572,20884,19297,17111,19059,16788,16303
206,13198,MCI,MO,Kansas City International,Kansas City,more than 5 million,no,loss,-20.5,at least -20%,1310747,1563918,1528356,1445932,1016345,195564,469875,512951,532037,997461,1170658,1141834,957795,1295078,1316394,1285970
207,13203,MCN,GA,Middle Georgia Regional,Macon,10k-100k,yes,loss,-19.0,at least -10%,3532,4048,3993,3518,2637,759,1623,1854,1413,3829,2977,3076,2269,3156,3415,3128
208,13204,MCO,FL,Orlando International,Orlando,more than 5 million,no,gain,0.9,less than 10%,5396343,5486186,4927403,5423692,4907303,643101,1652636,2541773,3313842,5180516,5022805,5260054,5276014,5680710,5295156,5646423
209,13230,MDT,PA,Harrisburg International,Harrisburg,100k-1 million,no,loss,-25.7,at least -20%,159677,201387,195484,194430,148163,26637,73003,68003,70206,132252,160782,148641,136300,166015,161373,160295
210,13232,MDW,IL,Chicago Midway International,Chicago,more than 5 million,no,loss,-8.2,less than -10%,2071308,2622519,2652635,2515513,1581030,524556,1021273,1074625,1146290,2003142,2386528,2051752,1605468,2489253,2940993,2510428
211,13241,MEI,MS,Key Field,Meridian,10k-100k,yes,loss,-17.4,at least -10%,5538,6518,6967,5665,3857,1891,1625,1780,1671,3257,3094,4058,3297,7039,4842,5533
212,13244,MEM,TN,Memphis International,Memphis,1-5 million,no,loss,-23.2,at least -20%,497067,627373,589194,612708,419276,91080,237294,276011,260717,492623,511838,538556,436231,598969,571406,573739
213,13256,MFE,TX,McAllen Miller International,Mission/McAllen/Edinburg,100k-1 million,no,loss,-19.6,at least -10%,89406,110770,108583,104402,81923,16165,35947,49978,62532,110116,131799,112380,95028,110964,122664,119912
214,13264,MFR,OR,Rogue Valley International - Medford,Medford,100k-1 million,no,loss,-13.0,at least -10%,104790,135408,150852,137025,87633,24760,63381,68986,63402,116815,136701,120189,99871,134918,145530,124136
215,13277,MGM,AL,Montgomery Regional,Montgomery,100k-1 million,no,loss,-29.7,at least -20%,44195,51997,49912,49912,39137,6638,19300,20999,18458,35125,38486,38044,30819,44237,40005,37350
216,13290,MHK,KS,Manhattan Regional,Manhattan/Ft. Riley,10k-100k,no,loss,-12.3,at least -10%,16288,20414,19262,21859,14525,2548,6714,8331,6342,14541,17507,18821,14394,20096,19146,20343
217,13296,MHT,NH,Manchester Boston Regional,Manchester,100k-1 million,no,loss,-32.1,at least -30%,187690,223323,226229,217807,147716,28619,75305,58477,52112,113193,154933,158111,133949,160647,187882,161986
218,13303,MIA,FL,Miami International,Miami,more than 5 million,no,gain,17.9,at least 10%,2905446,2669826,2517412,2698264,2626096,398293,947027,1278283,1972970,3128313,2998162,3483949,3740077,3715131,3382287,3299536
219,13342,MKE,WI,General Mitchell International,Milwaukee,1-5 million,no,loss,-23.4,at least -20%,801438,862492,887326,830523,618894,104586,269279,279326,350439,540561,681349,673313,643647,677759,675736,660166
220,13344,MKG,MI,Muskegon County,Muskegon,10k-100k,yes,gain,8.3,less than 10%,3866,4319,6405,4458,2668,525,1489,1092,898,2843,5484,3337,1896,3458,4617,1121
221,13360,MLB,FL,Melbourne Orlando International,Melbourne,100k-1 million,no,loss,-7.3,less than -10%,64847,61922,54063,58807,56358,7782,20001,25872,28567,46755,46376,54355,57773,60867,47186,54000
222,13367,MLI,IL,Quad Cities International,Moline,100k-1 million,no,loss,-33.4,at least -30%,85530,91180,86873,90485,70168,11590,30492,36860,40880,61721,70022,73192,65220,72098,64053,67160
223,13377,MLU,LA,Monroe Regional,Monroe,100k-1 million,no,loss,-31.7,at least -30%,25051,29643,29207,29982,22571,4253,12963,14880,12787,22632,23014,23649,18845,23113,22747,22633
224,13388,MMH,CA,Mammoth Lakes Airport,Mammoth Lakes,10k-100k,no,loss,-17.0,at least -10%,7909,3428,2833,2994,6775,0,0,0,0,0,0,316,1883,793,657,653
225,13422,MOB,AL,Mobile Regional,Mobile,100k-1 million,no,loss,-30.1,at least -30%,74644,88983,80777,84689,67759,12496,38634,39401,36890,65956,67151,65875,57405,75430,64669,64478
226,13433,MOT,ND,Minot International,Minot,100k-1 million,no,loss,-22.3,at least -20%,39068,38925,42281,42974,34057,6753,20898,22975,22379,32319,34456,36727,33663,33820,35473,35862
227,13459,MQT,MI,Sawyer International,Marquette,10k-100k,no,loss,-23.0,at least -20%,12297,14255,18256,14252,9676,1714,8865,6601,6805,12146,18433,14143,11214,11526,11986,7817
228,13476,MRY,CA,Monterey Regional,Monterey,100k-1 million,no,loss,-13.7,at least -10%,46839,61506,64685,59993,40991,5813,18009,20948,17904,45994,59668,60049,43829,59564,62649,58156
229,13485,MSN,WI,Dane County Regional-Truax Field,Madison,1-5 million,no,loss,-26.7,at least -20%,264718,294601,307183,295368,237094,21423,77694,78570,95518,158645,215510,226503,203081,229931,239125,243276
230,13486,MSO,MT,Missoula Montana,Missoula,100k-1 million,no,loss,-19.2,at least -10%,85980,111404,150733,103770,69735,17598,70879,50799,49288,97581,147118,89730,80087,100669,143530,99742
231,13487,MSP,MN,Minneapolis-St Paul International,Minneapolis,more than 5 million,no,loss,-25.1,at least -20%,3899676,4465688,4906539,4314483,3243020,384442,1484479,1535693,1849109,2907145,3697047,3379962,3143154,3671918,3863354,3488670
232,13495,MSY,LA,Louis Armstrong New Orleans International,New Orleans,more than 5 million,no,loss,-16.5,at least -10%,1628506,1876255,1596450,1784315,1396859,163808,480698,597781,620734,1176559,938962,1309907,1276787,1624638,1432569,1598044
233,13502,MTJ,CO,Montrose Regional,Montrose/Delta,100k-1 million,no,loss,-0.1,less than -10%,63846,22822,41874,30585,57017,5105,19480,19845,56619,33531,56181,43532,95269,38601,56349,44586
234,13541,MVY,MA,Martha's Vineyard Airport,Martha's Vineyard,10k-100k,no,loss,-0.8,less than -10%,1334,8140,37922,3904,1848,1007,12790,1963,1180,12367,46164,6688,1906,13282,47713,5666
235,13543,MWA,IL,Veterans Airport of Southern Illinois,Marion/Herrin,10k-100k,yes,loss,-7.2,less than -10%,2090,2606,2804,2866,1860,642,1359,1497,1389,2393,2510,2557,1868,2390,2499,2562
236,13577,MYR,SC,Myrtle Beach International,Myrtle Beach,1-5 million,no,gain,38.5,at least 30%,192104,424759,465525,251580,149458,58059,211243,132414,118248,488297,661746,337838,231040,528722,629325,330524
237,16218,YUM,AZ,Yuma MCAS/Yuma International,Yuma,10k-100k,no,loss,-14.5,at least -10%,21245,27421,22455,26906,23400,5883,9588,15060,17477,25177,23289,25410,22510,23807,20235,21260
238,13795,OAJ,NC,Albert J Ellis,Jacksonville/Camp Lejeune,100k-1 million,no,loss,-29.6,at least -20%,35945,42530,42588,41079,31686,11607,31450,30829,28032,45582,44933,42836,35544,36896,35300,29230
239,13796,OAK,CA,Metro Oakland International,Oakland,more than 5 million,no,loss,-13.4,at least -10%,1383152,1657465,1648948,1592632,1030572,187333,458882,480412,496773,1026663,1172322,1173815,990062,1435991,1573027,1386702
240,13829,OGD,UT,Ogden-Hinckley,Ogden,10k-100k,no,loss,-13.9,at least -10%,3859,3992,4125,3859,2829,880,2242,2751,2431,8474,9709,8759,7802,3955,51,40
241,13832,OGS,NY,Ogdensburg International,Ogdensburg,10k-100k,yes,loss,-36.7,at least -30%,7749,5942,5549,7655,7030,556,918,695,525,2520,4173,3074,2069,2191,1939,1689
242,13851,OKC,OK,Will Rogers World,Oklahoma City,1-5 million,no,loss,-18.7,at least -10%,456416,596634,575559,562101,374578,95542,234794,248771,227535,450066,496694,493715,388771,525745,546731,527290
243,13871,OMA,NE,Eppley Airfield,Omaha,1-5 million,no,loss,-20.6,at least -20%,565406,670798,628574,616220,470192,85552,234251,257627,278677,494063,540818,541121,467451,598020,584414,584597
244,13891,ONT,CA,Ontario International,Ontario,1-5 million,no,gain,1.4,less than 10%,557787,660316,701414,712821,517419,118975,276434,296466,273948,536364,686571,696640,559025,741596,763449,738985
245,13930,ORD,IL,Chicago O'Hare International,Chicago,more than 5 million,no,loss,-25.7,at least -20%,7222624,8954768,9270337,8689102,5986530,949097,2884275,3051262,3063642,5819186,7747417,7153829,5660803,7245136,7541472,7185257
246,13931,ORF,VA,Norfolk International,Norfolk,1-5 million,no,loss,-13.3,at least -10%,409641,542204,559796,504151,346424,77843,224515,241499,209316,433292,535786,494840,387623,577298,600219,513770
247,13933,ORH,MA,Worcester Regional,Worcester,10k-100k,no,loss,-2.9,less than -10%,23898,24192,23032,25884,18750,658,1043,0,0,0,1016,13066,14367,18933,20486,26133
248,13964,OTH,OR,Southwest Oregon Regional,North Bend/Coos Bay,10k-100k,no,loss,-8.8,less than -10%,1907,3531,5219,2589,1461,663,3170,1453,669,3631,6011,3020,1975,4478,6753,3544
249,13983,OWB,KY,Owensboro Daviess County Regional,Owensboro,10k-100k,yes,loss,-6.0,less than -10%,4412,5343,3652,5014,3401,1527,1681,2547,2291,4226,3551,3322,3528,4893,3134,4076
250,14004,PAE,WA,Snohomish County,Everett,100k-1 million,no,loss,-39.0,at least -30%,22890,115301,127564,124099,94206,1607,6391,16182,17834,30959,35597,30600,46469,80417,78744,55813
251,14006,PAH,KY,Barkley Regional,Paducah,10k-100k,yes,loss,-35.8,at least -30%,4899,6857,7488,5995,2730,424,1654,1777,1265,3276,4414,4527,2901,7208,4343,3463
252,14025,PBG,NY,Plattsburgh International,Plattsburgh,100k-1 million,yes,loss,-28.8,at least -20%,42588,28733,26115,27833,33322,2709,3387,4234,5487,3408,14380,17486,22165,18045,16259,18114
253,14027,PBI,FL,Palm Beach International,West Palm Beach/Palm Beach,1-5 million,no,loss,-8.6,less than -10%,1021405,879032,661616,846116,905322,104461,179924,300245,494531,711882,587082,781611,933426,841917,641521,825501
254,14057,PDX,OR,Portland International,Portland,more than 5 million,no,loss,-32.4,at least -30%,2039685,2386082,2628281,2349089,1638591,255980,729068,731074,706116,1429654,1842195,1686554,1388345,1850563,1938938,1794950
255,14081,PGA,AZ,Page Municipal,Page,10k-100k,yes,loss,-16.9,at least -10%,1715,2910,3514,2053,1427,570,1879,1059,888,3151,3607,1945,1768,2894,3421,1751
256,14082,PGD,FL,Punta Gorda Airport,Punta Gorda,100k-1 million,no,gain,11.2,at least 10%,245112,224700,152421,199295,258318,89479,104169,144888,201796,190029,167784,223967,284345,260042,185251,192707
257,14092,PGV,NC,Pitt Greenville,Greenville,10k-100k,no,loss,-47.0,at least -30%,11926,13519,12568,14674,9727,2018,4668,215,3452,9328,9265,9830,7990,6943,7004,7598
258,14098,PHF,VA,Newport News/Williamsburg International,Newport News/Williamsburg,100k-1 million,no,loss,-56.8,at least -30%,41552,58153,56944,54858,34666,7238,14508,14666,10221,21298,26894,24942,18674,20358,20134,21043
259,14100,PHL,PA,Philadelphia International,Philadelphia,more than 5 million,no,loss,-33.5,at least -30%,3019560,3711464,3757940,3560569,2468927,437063,1335475,1263100,1261335,2405078,2925521,2696465,2207551,2931194,2948279,2810104
260,14107,PHX,AZ,Phoenix Sky Harbor International,Phoenix,more than 5 million,no,loss,-7.3,less than -10%,5402168,5596279,5106295,5468758,4614710,941073,2059188,2592480,3022292,5030534,5033426,5419269,4978864,5466484,5015662,5467128
261,14108,PIA,IL,General Downing - Peoria International,Peoria,100k-1 million,no,loss,-35.8,at least -30%,79200,91120,86133,82669,67861,17360,36138,38868,39667,58882,67964,69760,61395,76035,75814,70787
262,14109,PIB,MS,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,10k-100k,yes,loss,-4.9,less than -10%,3097,2536,2782,4120,3309,1039,1440,1748,1669,3392,3916,4011,3478,3382,3424,3492
263,14112,PIE,FL,St Pete Clearwater International,St. Petersburg,1-5 million,no,loss,-0.5,less than -10%,264941,317730,272177,264219,246646,113757,158378,168359,186810,284870,265880,265138,272005,354303,299834,265867
264,14113,PIH,ID,Pocatello Regional,Pocatello,10k-100k,no,loss,-66.7,at least -30%,10455,11183,11170,11165,8220,796,4884,5628,5034,6597,7441,4277,2707,2867,2426,3095
265,14120,PIR,SD,Pierre Regional,Pierre,10k-100k,yes,loss,-2.2,less than -10%,0,4945,6448,5578,3320,396,1611,2690,1732,3514,5365,6872,3328,4395,4255,4426
266,14122,PIT,PA,Pittsburgh International,Pittsburgh,1-5 million,no,loss,-23.9,at least -20%,1014709,1225862,1211373,1189068,818658,155998,376505,395055,388533,781244,941225,951082,781637,1057359,1035660,1008204
267,14150,PLN,MI,Pellston Regional Airport of Emmet County,Pellston,10k-100k,yes,loss,-30.8,at least -30%,5209,7990,12996,6405,4726,568,8425,3785,3079,6395,14089,5702,4205,6261,10587,4640
268,14193,PNS,FL,Pensacola International,Pensacola,1-5 million,no,loss,-14.4,at least -10%,230930,305673,306220,266637,197661,62326,161210,164453,157750,354836,384219,294446,256706,340682,330612,294143
269,14231,PQI,ME,Presque Isle International,Presque Isle/Houlton,10k-100k,yes,gain,1.9,less than 10%,2461,3326,4311,3136,2614,350,1141,1166,813,2639,4194,3483,2925,3782,4344,4358
270,14237,PRC,AZ,Prescott Regional Ernest A Love Field,Prescott,10k-100k,yes,loss,-0.1,less than -10%,5987,7401,7104,7287,4772,957,3320,3977,2831,6057,7475,7192,4972,6180,6246,6660
271,14252,PSC,WA,Tri Cities,Pasco/Kennewick/Richland,100k-1 million,no,loss,-14.1,at least -10%,97964,108430,114929,116745,79191,15684,42057,53206,53559,91856,105528,96289,86432,98433,104498,102626
272,14259,PSM,NH,Portsmouth International at Pease,Portsmouth,10k-100k,no,loss,-13.5,at least -10%,20409,19904,11726,9202,12661,3898,5022,6277,7303,11178,11768,9853,14095,17095,14238,10288
