ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,total_2019,total_2020,total_2021,total_2022,diff_2022,change_type
10721,BOS,MA,Logan International,Boston,more than 5 million,no,L,loss,-11.6,at least -10%,168616,83787,106229,149074,42845,more
10728,BPT,TX,Jack Brooks Regional,Beaumont/Port Arthur,10k-100k,no,N,loss,-18.6,at least -10%,961,646,939,782,-157,less
10731,BQK,GA,Brunswick Golden Isles,Brunswick,10k-100k,no,N,loss,-15.9,at least -10%,1035,785,1030,870,-160,less
10739,BRD,MN,Brainerd Lakes Regional,Brainerd,10k-100k,yes,N,gain,14.0,at least 10%,641,615,639,731,92,more
10747,BRO,TX,Brownsville South Padre Island International,Brownsville,100k-1 million,no,N,loss,-14.0,at least -10%,2664,1765,2373,2292,-81,less
10779,BTM,MT,Bert Mooney,Butte,10k-100k,yes,N,loss,-10.6,at least -10%,677,628,690,605,-85,less
10781,BTR,LA,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,100k-1 million,no,N,loss,-28.0,at least -20%,7632,4515,5647,5493,-154,less
10785,BTV,VT,Burlington International,Burlington,100k-1 million,no,S,loss,-22.3,at least -20%,11734,5546,7142,9115,1973,more
10792,BUF,NY,Buffalo Niagara International,Buffalo,1-5 million,no,S,loss,-27.0,at least -20%,27938,13534,16701,20400,3699,more
10800,BUR,CA,Bob Hope,Burbank,1-5 million,no,S,gain,0.8,less than 10%,31457,16096,20223,31716,11493,more
10821,BWI,MD,Baltimore/Washington International Thurgood Marshall,Baltimore,more than 5 million,no,L,loss,-20.8,at least -20%,107760,71127,76375,85362,8987,more
10849,BZN,MT,Bozeman Yellowstone International,Bozeman,100k-1 million,no,S,gain,21.5,at least 20%,8359,6929,11659,10154,-1505,less
10868,CAE,SC,Columbia Metropolitan,Columbia,100k-1 million,no,S,loss,-26.4,at least -20%,11371,6929,8252,8368,116,more
10874,CAK,OH,Akron-Canton Regional,Akron,100k-1 million,no,N,loss,-49.4,at least -30%,7598,3669,3887,3848,-39,less
10918,CDC,UT,Cedar City Regional,Cedar City,10k-100k,yes,N,loss,-18.4,at least -10%,766,414,627,625,-2,less
10967,CGI,MO,Cape Girardeau Regional,Cape Girardeau,10k-100k,yes,,loss,-33.6,at least -30%,926,567,598,615,17,more
10980,CHA,TN,Lovell Field,Chattanooga,100k-1 million,no,S,loss,-34.5,at least -30%,10184,5578,7060,6668,-392,less
10990,CHO,VA,Charlottesville Albemarle,Charlottesville,100k-1 million,no,N,loss,-36.0,at least -30%,8819,4426,4867,5644,777,more
10994,CHS,SC,Charleston AFB/International,Charleston,1-5 million,no,M,loss,-2.2,less than -10%,27095,15345,25169,26505,1336,more
11003,CID,IA,The Eastern Iowa,Cedar Rapids/Iowa City,100k-1 million,no,S,loss,-20.9,at least -20%,10451,6660,8996,8271,-725,less
11013,CIU,MI,Chippewa County International,Sault Ste. Marie,10k-100k,yes,N,gain,6.3,less than 10%,667,703,731,709,-22,less
11027,CKB,WV,North Central West Virginia,Clarksburg/Fairmont,10k-100k,yes,N,gain,14.6,at least 10%,905,775,921,1037,116,more
11042,CLE,OH,Cleveland-Hopkins International,Cleveland,1-5 million,no,M,loss,-25.3,at least -20%,51455,27258,34769,38427,3658,more
11049,CLL,TX,Easterwood Field,College Station/Bryan,10k-100k,no,N,loss,-41.5,at least -30%,2248,1409,2030,1314,-716,less
11057,CLT,NC,Charlotte Douglas International,Charlotte,more than 5 million,no,L,loss,-16.5,at least -10%,253084,176723,224392,211216,-13176,less
11066,CMH,OH,John Glenn Columbus International,Columbus,1-5 million,no,M,loss,-21.4,at least -20%,49448,26730,32352,38874,6522,more
11067,CMI,IL,University of Illinois/Willard,Champaign/Urbana,100k-1 million,no,N,loss,-46.9,at least -30%,2810,1501,1724,1491,-233,less
11076,CMX,MI,Houghton County Memorial,Hancock/Houghton,10k-100k,yes,N,loss,-6.7,less than -10%,685,676,711,639,-72,less
11092,CNY,UT,Canyonlands Regional,Moab,10k-100k,yes,N,gain,7.8,less than 10%,592,621,710,638,-72,less
11097,COD,WY,Yellowstone Regional,Cody,10k-100k,yes,N,loss,-12.1,at least -10%,1084,696,1038,953,-85,less
11109,COS,CO,City of Colorado Springs Municipal,Colorado Springs,100k-1 million,no,S,gain,9.3,less than 10%,11163,6614,12072,12203,131,more
11111,COU,MO,Columbia Regional,Columbia,100k-1 million,no,N,loss,-47.7,at least -30%,3084,1724,1784,1612,-172,less
11122,CPR,WY,Casper/Natrona County International,Casper,10k-100k,no,N,loss,-23.6,at least -20%,2311,1601,2002,1766,-236,less
11140,CRP,TX,Corpus Christi International,Corpus Christi,100k-1 million,no,N,loss,-11.7,at least -10%,5786,3779,4870,5107,237,more
11146,CRW,WV,West Virginia International Yeager,Charleston/Dunbar,100k-1 million,no,N,loss,-36.8,at least -30%,5143,2968,3392,3251,-141,less
11150,CSG,GA,Columbus Airport,Columbus,10k-100k,no,N,gain,58.2,at least 30%,1293,943,1459,2046,587,more
11193,CVG,KY,Cincinnati/Northern Kentucky International,Cincinnati,1-5 million,no,M,loss,-26.3,at least -20%,51086,27356,34987,37659,2672,more
11197,CVN,NM,Clovis Regional,Clovis,less than 10k,yes,,loss,-35.3,at least -30%,964,737,618,624,6,more
11203,CWA,WI,Central Wisconsin,Mosinee,100k-1 million,no,N,loss,-47.8,at least -30%,3443,2062,2804,1798,-1006,less
11233,CYS,WY,Cheyenne Regional/Jerry Olson Field,Cheyenne,10k-100k,no,,gain,15.2,at least 10%,566,148,205,652,447,more
11252,DAB,FL,Daytona Beach International,Daytona Beach,100k-1 million,no,N,loss,-19.3,at least -10%,3408,2547,3302,2749,-553,less
11259,DAL,TX,Dallas Love Field,Dallas,more than 5 million,no,M,loss,-11.6,at least -10%,72512,48999,56938,64115,7177,more
11267,DAY,OH,James M Cox/Dayton International,Dayton,100k-1 million,no,S,loss,-40.3,at least -30%,16404,8601,10789,9799,-990,less
11274,DBQ,IA,Dubuque Regional,Dubuque,10k-100k,no,N,loss,-55.2,at least -30%,985,453,562,441,-121,less
11278,DCA,VA,Ronald Reagan Washington National,Washington,more than 5 million,no,L,gain,1.2,less than 10%,139960,63918,83542,141620,58078,more
11288,DEC,IL,Decatur Airport,Decatur,less than 10k,yes,,loss,-45.4,at least -30%,1842,794,599,1005,406,more
11292,DEN,CO,Denver International,Denver,more than 5 million,no,L,loss,-3.8,less than -10%,288617,199642,267640,277694,10054,more
11298,DFW,TX,Dallas/Fort Worth International,Dallas/Fort Worth,more than 5 million,no,L,loss,-9.8,less than -10%,302386,218379,275116,272740,-2376,less
11308,DHN,AL,Dothan Regional,Dothan,10k-100k,no,N,loss,-32.5,at least -30%,1382,879,1062,933,-129,less
11315,DIK,ND,Dickinson - Theodore Roosevelt Regional,Dickinson,10k-100k,yes,N,loss,-6.4,less than -10%,613,441,532,574,42,more
11337,DLH,MN,Duluth International,Duluth,100k-1 million,no,N,loss,-29.7,at least -20%,3274,1965,2458,2301,-157,less
11413,DRO,CO,Durango La Plata County,Durango,100k-1 million,no,N,loss,-15.4,at least -10%,4225,2725,4370,3573,-797,less
11415,DRT,TX,Del Rio International,Del Rio,10k-100k,no,N,loss,-4.3,less than -10%,714,422,642,683,41,more
11423,DSM,IA,Des Moines International,Des Moines,1-5 million,no,S,loss,-19.7,at least -10%,18251,11798,14349,14656,307,more
11433,DTW,MI,Detroit Metro Wayne County,Detroit,more than 5 million,no,L,loss,-28.6,at least -20%,175364,107378,129516,125239,-4277,less
11447,DVL,ND,Devils Lake Regional,Devils Lake,less than 10k,yes,,gain,4.0,less than 10%,598,573,633,622,-11,less
11468,EAR,NE,Kearney Regional,Kearney,10k-100k,yes,N,gain,5.0,less than 10%,655,708,941,688,-253,less
11470,EAT,WA,Pangborn Memorial,Wenatchee,10k-100k,no,N,loss,-48.7,at least -30%,1143,699,794,586,-208,less
11471,EAU,WI,Chippewa Valley Regional,Eau Claire,10k-100k,yes,N,loss,-29.2,at least -20%,698,684,712,494,-218,less
11481,ECP,FL,Northwest Florida Beaches International,Panama City,100k-1 million,no,S,gain,11.9,at least 10%,6565,6595,9915,7349,-2566,less
11503,EGE,CO,Eagle County Regional,Eagle,100k-1 million,no,N,gain,22.9,at least 20%,2291,1883,2848,2816,-32,less
