ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,total_2019,total_2020,total_2021,total_2022,pax_diff
10721,BOS,MA,Logan International,Boston,more than 5 million,no,L,loss,-11.6,at least -10%,16788125,5256846,9877115,14499807,loss
10728,BPT,TX,Jack Brooks Regional,Beaumont/Port Arthur,10k-100k,no,N,loss,-18.6,at least -10%,29056,15864,21697,24699,loss
10731,BQK,GA,Brunswick Golden Isles,Brunswick,10k-100k,no,N,loss,-15.9,at least -10%,40468,19117,35805,34149,loss
10739,BRD,MN,Brainerd Lakes Regional,Brainerd,10k-100k,yes,N,gain,14.0,at least 10%,21486,11497,18457,21816,gain
10747,BRO,TX,Brownsville South Padre Island International,Brownsville,100k-1 million,no,N,loss,-14.0,at least -10%,124879,60530,113373,126613,gain
10779,BTM,MT,Bert Mooney,Butte,10k-100k,yes,N,loss,-10.6,at least -10%,25926,12276,16596,17991,loss
10781,BTR,LA,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,100k-1 million,no,N,loss,-28.0,at least -20%,397646,175899,275129,327822,loss
10785,BTV,VT,Burlington International,Burlington,100k-1 million,no,S,loss,-22.3,at least -20%,685973,211978,382020,601002,loss
10792,BUF,NY,Buffalo Niagara International,Buffalo,1-5 million,no,S,loss,-27.0,at least -20%,2461186,705014,1425731,2003174,loss
10800,BUR,CA,Bob Hope,Burbank,1-5 million,no,S,gain,0.8,less than 10%,3053832,1021123,1944501,3074069,gain
10821,BWI,MD,Baltimore/Washington International Thurgood Marshall,Baltimore,more than 5 million,no,L,loss,-20.8,at least -20%,12918239,5332981,9011432,10758628,loss
10849,BZN,MT,Bozeman Yellowstone International,Bozeman,100k-1 million,no,S,gain,21.5,at least 20%,783237,445207,979263,1136060,gain
10868,CAE,SC,Columbia Metropolitan,Columbia,100k-1 million,no,S,loss,-26.4,at least -20%,649589,273206,420458,513317,loss
10874,CAK,OH,Akron-Canton Regional,Akron,100k-1 million,no,N,loss,-49.4,at least -30%,403754,143097,200786,262249,loss
10918,CDC,UT,Cedar City Regional,Cedar City,10k-100k,yes,N,loss,-18.4,at least -10%,23230,5936,12057,11459,loss
10967,CGI,MO,Cape Girardeau Regional,Cape Girardeau,10k-100k,yes,,loss,-33.6,at least -30%,16458,4640,9079,11099,loss
10980,CHA,TN,Lovell Field,Chattanooga,100k-1 million,no,S,loss,-34.5,at least -30%,556934,227102,379100,435939,loss
10990,CHO,VA,Charlottesville Albemarle,Charlottesville,100k-1 million,no,N,loss,-36.0,at least -30%,385906,131220,212263,260607,loss
10994,CHS,SC,Charleston AFB/International,Charleston,1-5 million,no,M,loss,-2.2,less than -10%,2385037,950924,2034068,2622525,gain
11003,CID,IA,The Eastern Iowa,Cedar Rapids/Iowa City,100k-1 million,no,S,loss,-20.9,at least -20%,667410,309232,528108,607504,loss
11013,CIU,MI,Chippewa County International,Sault Ste. Marie,10k-100k,yes,N,gain,6.3,less than 10%,24380,10613,17308,22197,loss
11027,CKB,WV,North Central West Virginia,Clarksburg/Fairmont,10k-100k,yes,N,gain,14.6,at least 10%,39439,16307,34976,48315,gain
11042,CLE,OH,Cleveland-Hopkins International,Cleveland,1-5 million,no,M,loss,-25.3,at least -20%,4850296,1978265,3529743,4170660,loss
11049,CLL,TX,Easterwood Field,College Station/Bryan,10k-100k,no,N,loss,-41.5,at least -30%,82365,38933,64438,51744,loss
11057,CLT,NC,Charlotte Douglas International,Charlotte,more than 5 million,no,L,loss,-16.5,at least -10%,22442113,12543953,19912462,21385545,loss
11066,CMH,OH,John Glenn Columbus International,Columbus,1-5 million,no,M,loss,-21.4,at least -20%,4170553,1582949,2830664,3601597,loss
11067,CMI,IL,University of Illinois/Willard,Champaign/Urbana,100k-1 million,no,N,loss,-46.9,at least -30%,103063,34291,54452,62360,loss
11076,CMX,MI,Houghton County Memorial,Hancock/Houghton,10k-100k,yes,N,loss,-6.7,less than -10%,24371,11838,20907,22556,loss
11092,CNY,UT,Canyonlands Regional,Moab,10k-100k,yes,N,gain,7.8,less than 10%,16514,8320,20059,18809,gain
11097,COD,WY,Yellowstone Regional,Cody,10k-100k,yes,N,loss,-12.1,at least -10%,41380,20494,37346,37784,loss
