ORIGIN_AIRPORT_ID,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,2019,2020,2021,2022
10146,ABY,"Albany, GA: Southwest Georgia Regional",20304.0,SkyWest Airlines Inc.,41276.0,8165.0,0.0,0.0
10146,ABY,"Albany, GA: Southwest Georgia Regional",20363.0,Endeavor Air Inc.,184.0,9223.0,32015.0,35055.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",20253.0,Cape Air,38941.0,21940.0,32058.0,25067.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",20363.0,Endeavor Air Inc.,2342.0,1246.0,7117.0,21607.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",20409.0,JetBlue Airways,55669.0,8407.0,49680.0,54358.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",20445.0,CommuteAir LLC dba CommuteAir,8705.0,1375.0,0.0,0.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",20452.0,Republic Airline,13142.0,8402.0,16942.0,15476.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",20500.0,GoJet Airlines LLC d/b/a United Express,0.0,0.0,20010.0,13469.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",21080.0,Tradewind Aviation,2754.0,2638.0,2690.0,3341.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",21618.0,"Southern Airways Express, dba Mokulele Airlines",682.0,1651.0,2724.0,3153.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",21712.0,Elite Airways LLC,0.0,0.0,1330.0,0.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",21964.0,"Rectrix Aviation, Inc.",9253.0,0.0,0.0,0.0
10155,ACT,"Waco, TX: Waco Regional",19393.0,Southwest Airlines Co.,199.0,0.0,140.0,0.0
10155,ACT,"Waco, TX: Waco Regional",19790.0,Delta Air Lines Inc.,0.0,0.0,0.0,109.0
10155,ACT,"Waco, TX: Waco Regional",19805.0,American Airlines Inc.,0.0,0.0,0.0,348.0
10155,ACT,"Waco, TX: Waco Regional",20304.0,SkyWest Airlines Inc.,757.0,1898.0,38.0,7674.0
10155,ACT,"Waco, TX: Waco Regional",20366.0,ExpressJet Airlines LLC d/b/a aha!,0.0,0.0,0.0,0.0
10155,ACT,"Waco, TX: Waco Regional",20378.0,Mesa Airlines Inc.,33.0,111.0,72.0,0.0
10155,ACT,"Waco, TX: Waco Regional",20398.0,Envoy Air,60827.0,24934.0,46696.0,45951.0
10155,ACT,"Waco, TX: Waco Regional",20422.0,Sun Country Airlines d/b/a MN Airlines,80.0,137.0,0.0,0.0
10155,ACT,"Waco, TX: Waco Regional",20445.0,CommuteAir LLC dba CommuteAir,0.0,0.0,0.0,0.0
10155,ACT,"Waco, TX: Waco Regional",20452.0,Republic Airline,68.0,0.0,0.0,0.0
10155,ACT,"Waco, TX: Waco Regional",21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,0.0,0.0,0.0,22.0
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",20207.0,TEM Enterprises dba  Avelo Airlines,0.0,0.0,18980.0,25489.0
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",20304.0,SkyWest Airlines Inc.,86137.0,38024.0,75295.0,93100.0
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",20366.0,ExpressJet Airlines LLC d/b/a aha!,0.0,0.0,458.0,394.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",19805.0,American Airlines Inc.,230.0,0.0,69.0,0.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",19930.0,Alaska Airlines Inc.,154.0,0.0,0.0,0.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",19977.0,United Air Lines Inc.,174.0,0.0,0.0,0.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",20409.0,JetBlue Airways,1417.0,113.0,2266.0,606.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",20416.0,Spirit Air Lines,520566.0,211086.0,396251.0,411709.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",20452.0,Republic Airline,0.0,0.0,28.0,0.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",20500.0,GoJet Airlines LLC d/b/a United Express,0.0,0.0,43.0,0.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",21712.0,Elite Airways LLC,71.0,0.0,0.0,0.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",21835.0,"Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",0.0,0.0,30.0,0.0
10185,AEX,"Alexandria, LA: Alexandria International",19393.0,Southwest Airlines Co.,0.0,0.0,0.0,106.0
10185,AEX,"Alexandria, LA: Alexandria International",19977.0,United Air Lines Inc.,87.0,0.0,172.0,0.0
10185,AEX,"Alexandria, LA: Alexandria International",20304.0,SkyWest Airlines Inc.,1052.0,3599.0,159.0,24414.0
10185,AEX,"Alexandria, LA: Alexandria International",20363.0,Endeavor Air Inc.,51977.0,22040.0,32876.0,35926.0
10185,AEX,"Alexandria, LA: Alexandria International",20366.0,ExpressJet Airlines LLC d/b/a aha!,29372.0,7634.0,0.0,0.0
10185,AEX,"Alexandria, LA: Alexandria International",20378.0,Mesa Airlines Inc.,0.0,0.0,0.0,0.0
10185,AEX,"Alexandria, LA: Alexandria International",20397.0,PSA Airlines Inc.,0.0,1264.0,12204.0,3357.0
10185,AEX,"Alexandria, LA: Alexandria International",20398.0,Envoy Air,36323.0,28705.0,35465.0,25346.0
10185,AEX,"Alexandria, LA: Alexandria International",20445.0,CommuteAir LLC dba CommuteAir,0.0,48.0,16907.0,7553.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",19393.0,Southwest Airlines Co.,0.0,0.0,0.0,122.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",19790.0,Delta Air Lines Inc.,103316.0,15259.0,29392.0,8275.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",19805.0,American Airlines Inc.,607.0,0.0,0.0,1479.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",20304.0,SkyWest Airlines Inc.,8499.0,20.0,0.0,37079.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",20363.0,Endeavor Air Inc.,101947.0,61196.0,108088.0,92228.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",20378.0,Mesa Airlines Inc.,0.0,0.0,8505.0,2752.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",20397.0,PSA Airlines Inc.,78361.0,40669.0,48741.0,60513.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",20398.0,Envoy Air,10343.0,19106.0,13081.0,36010.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",20409.0,JetBlue Airways,0.0,0.0,71.0,0.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",20427.0,Piedmont Airlines,26157.0,18010.0,44446.0,32464.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",20452.0,Republic Airline,1978.0,0.0,0.0,1006.0
10257,ALB,"Albany, NY: Albany International",19393.0,Southwest Airlines Co.,486840.0,171924.0,318599.0,365777.0
10257,ALB,"Albany, NY: Albany International",19790.0,Delta Air Lines Inc.,168298.0,38648.0,95456.0,133342.0
10257,ALB,"Albany, NY: Albany International",19805.0,American Airlines Inc.,94868.0,43976.0,48696.0,113378.0
10257,ALB,"Albany, NY: Albany International",19930.0,Alaska Airlines Inc.,327.0,0.0,0.0,0.0
10257,ALB,"Albany, NY: Albany International",19977.0,United Air Lines Inc.,107081.0,9769.0,28917.0,85936.0
10257,ALB,"Albany, NY: Albany International",20046.0,Air Wisconsin Airlines Corp,17256.0,10390.0,4098.0,3568.0
10257,ALB,"Albany, NY: Albany International",20207.0,TEM Enterprises dba  Avelo Airlines,0.0,0.0,0.0,0.0
10257,ALB,"Albany, NY: Albany International",20237.0,Trans States Airlines,1418.0,50.0,0.0,0.0
10257,ALB,"Albany, NY: Albany International",20253.0,Cape Air,3201.0,0.0,0.0,0.0
10257,ALB,"Albany, NY: Albany International",20304.0,SkyWest Airlines Inc.,82856.0,28159.0,28136.0,70873.0
10257,ALB,"Albany, NY: Albany International",20363.0,Endeavor Air Inc.,14669.0,18281.0,45672.0,63391.0
10257,ALB,"Albany, NY: Albany International",20366.0,ExpressJet Airlines LLC d/b/a aha!,7249.0,1404.0,0.0,0.0
