ORIGIN_AIRPORT_ID,CODE,NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",638,Canadair CRJ 900,104487.0,29147.0,67262.0,17444.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,12128.0,0.0,0.0,0.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",656,McDonnell Douglas MD-90,2046.0,144.0,0.0,0.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",673,Embraer ERJ-175,325480.0,146953.0,274635.0,274247.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",675,Embraer-145,18997.0,10107.0,31616.0,25320.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",676,Embraer-140,0.0,7.0,0.0,0.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",677,Embraer-Emb-170,9772.0,1219.0,4531.0,1282.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",694,Airbus Industrie A320-100/200,82837.0,27087.0,80299.0,170013.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",698,Airbus Industrie A319,128958.0,47972.0,67637.0,84471.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",699,Airbus Industrie A321/Lr,9607.0,31290.0,121239.0,212574.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",721,Airbus Industrie A321-200n,781.0,343.0,1066.0,2468.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",722,Airbus Industrie A320-200n,8636.0,2909.0,7632.0,22030.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",838,Boeing B737 Max 800,6772.0,0.0,33538.0,46347.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",839,Boeing B737 Max 900,0.0,0.0,595.0,10380.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",888,Boeing 737-900ER,152845.0,15856.0,41700.0,58119.0
10141,ABR,"Aberdeen, SD: Aberdeen Regional",629,Canadair RJ-200ER /RJ-440,28610.0,13689.0,21635.0,21726.0
10141,ABR,"Aberdeen, SD: Aberdeen Regional",631,Canadair RJ-700,125.0,31.0,52.0,42.0
10141,ABR,"Aberdeen, SD: Aberdeen Regional",638,Canadair CRJ 900,47.0,673.0,155.0,0.0
10146,ABY,"Albany, GA: Southwest Georgia Regional",629,Canadair RJ-200ER /RJ-440,41394.0,17256.0,31818.0,34993.0
10146,ABY,"Albany, GA: Southwest Georgia Regional",631,Canadair RJ-700,0.0,0.0,81.0,62.0
10146,ABY,"Albany, GA: Southwest Georgia Regional",638,Canadair CRJ 900,66.0,132.0,116.0,0.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",125,Cessna C-402/402A/402B,38941.0,21940.0,32058.0,25067.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",415,Cessna C208B/Grand Caravan,0.0,0.0,0.0,3033.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",416,Cessna 208 Caravan,682.0,1651.0,2724.0,120.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",458,Beechcraft Super King Air,9253.0,0.0,0.0,0.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",479,Pilatus PC-12,2754.0,2638.0,2690.0,3341.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",530,Bombardier CRJ550,0.0,0.0,20010.0,13469.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",629,Canadair RJ-200ER /RJ-440,2342.0,0.0,1208.0,0.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",631,Canadair RJ-700,0.0,0.0,398.0,15309.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",638,Canadair CRJ 900,0.0,1246.0,6841.0,6298.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",673,Embraer ERJ-175,12951.0,8402.0,16942.0,15476.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",675,Embraer-145,8705.0,1375.0,0.0,0.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",677,Embraer-Emb-170,191.0,0.0,0.0,0.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",678,Embraer 190,55669.0,8407.0,49680.0,54358.0
10155,ACT,"Waco, TX: Waco Regional",612,Boeing 737-700/700LR/Max 7,199.0,0.0,140.0,0.0
10155,ACT,"Waco, TX: Waco Regional",614,Boeing 737-800,80.0,137.0,0.0,0.0
10155,ACT,"Waco, TX: Waco Regional",629,Canadair RJ-200ER /RJ-440,0.0,3.0,0.0,0.0
10155,ACT,"Waco, TX: Waco Regional",631,Canadair RJ-700,697.0,1895.0,38.0,7674.0
10155,ACT,"Waco, TX: Waco Regional",638,Canadair CRJ 900,0.0,0.0,72.0,0.0
10155,ACT,"Waco, TX: Waco Regional",673,Embraer ERJ-175,4089.0,1233.0,1965.0,1784.0
10155,ACT,"Waco, TX: Waco Regional",675,Embraer-145,11835.0,11092.0,41145.0,44176.0
10155,ACT,"Waco, TX: Waco Regional",676,Embraer-140,44996.0,12720.0,3586.0,0.0
10155,ACT,"Waco, TX: Waco Regional",677,Embraer-Emb-170,68.0,0.0,0.0,13.0
10155,ACT,"Waco, TX: Waco Regional",699,Airbus Industrie A321/Lr,0.0,0.0,0.0,348.0
10155,ACT,"Waco, TX: Waco Regional",723,A200-100 BD-500-1A10,0.0,0.0,0.0,109.0
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",612,Boeing 737-700/700LR/Max 7,0.0,0.0,2306.0,3136.0
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",614,Boeing 737-800,0.0,0.0,16674.0,22353.0
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",629,Canadair RJ-200ER /RJ-440,64704.0,24363.0,13759.0,32288.0
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",631,Canadair RJ-700,5390.0,37.0,12044.0,9437.0
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",673,Embraer ERJ-175,16043.0,13624.0,49492.0,51375.0
10157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",675,Embraer-145,0.0,0.0,458.0,394.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",194,Piper PA-31 (Navajo)/T-1020,0.0,0.0,30.0,0.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",530,Bombardier CRJ550,0.0,0.0,43.0,0.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",631,Canadair RJ-700,71.0,0.0,0.0,0.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",673,Embraer ERJ-175,0.0,0.0,28.0,0.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",678,Embraer 190,87.0,0.0,272.0,0.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",694,Airbus Industrie A320-100/200,171080.0,44294.0,189543.0,144332.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",698,Airbus Industrie A319,39146.0,13527.0,55118.0,171832.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",699,Airbus Industrie A321/Lr,284021.0,96438.0,10148.0,34844.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",721,Airbus Industrie A321-200n,0.0,0.0,342.0,0.0
