ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,DEST_AIRPORT_ID,DEST,hub_cat_dest,DEST_CITY_NAME,DEST_STATE_ABR,2019,2020,2021,2022
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14711,SCE,N,"State College, PA",PA,1,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14730,SDF,S,"Louisville, KY",KY,1,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14761,SFB,S,"Sanford, FL",FL,508,333,518,563
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15096,SYR,S,"Syracuse, NY",NY,1,,1,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15412,TYS,S,"Knoxville, TN",TN,2,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15919,XNA,S,"Fayetteville, AR",AR,2,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11150,CSG,N,"Columbus, GA",GA,,1,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,13232,MDW,L,"Chicago, IL",IL,,21,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14122,PIT,M,"Pittsburgh, PA",PA,,1,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14986,SRQ,S,"Sarasota/Bradenton, FL",FL,,47,68,107
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15323,TRI,N,"Bristol/Johnson City/Kingsport, TN",TN,,1,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,10577,BGM,N,"Binghamton, NY",NY,,,1,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,12323,ILM,S,"Wilmington, NC",NC,,,1,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,13230,MDT,S,"Harrisburg, PA",PA,,,1,3
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,13795,OAJ,N,"Jacksonville/Camp Lejeune, NC",NC,,,1,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14027,PBI,M,"West Palm Beach/Palm Beach, FL",FL,,,1,1
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14696,SBN,S,"South Bend, IN",IN,,,1,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,10721,BOS,L,"Boston, MA",MA,,,,1
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,12451,JAX,M,"Jacksonville, FL",FL,,,,1
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,10155,ACT,N,"Waco, TX",TX,1,1,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,10423,AUS,L,"Austin, TX",TX,2,,2,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,11259,DAL,M,"Dallas, TX",TX,1,,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,11298,DFW,L,"Dallas/Fort Worth, TX",TX,2304,1558,1958,1918
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,11980,GRI,N,"Grand Island, NE",NE,1,,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,12266,IAH,L,"Houston, TX",TX,1,135,428,2
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,12478,JFK,L,"New York, NY",NY,1,,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,14107,PHX,L,"Phoenix, AZ",AZ,1,,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,14689,SBA,S,"Santa Barbara, CA",CA,,1,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,11109,COS,S,"Colorado Springs, CO",CO,,,1,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,12896,LBB,S,"Lubbock, TX",TX,,,1,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,13158,MAF,S,"Midland/Odessa, TX",TX,,,2,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,14842,SJT,N,"San Angelo, TX",TX,,,2,2
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,10194,AFW,,"Dallas/Fort Worth, TX",TX,,,,1
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,11982,GRK,N,"Killeen, TX",TX,,,,1
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10136,ABI,N,"Abilene, TX",TX,1,,1,1
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10272,ALS,,"Alamosa, CO",CO,4,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10372,ASE,N,"Aspen, CO",CO,1,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10397,ATL,L,"Atlanta, GA",GA,876,347,685,1064
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10423,AUS,L,"Austin, TX",TX,383,195,289,823
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10693,BNA,L,"Nashville, TN",TN,3,,2,1
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10713,BOI,M,"Boise, ID",ID,1,1,,2
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10721,BOS,L,"Boston, MA",MA,2,,1,5
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10800,BUR,S,"Burbank, CA",CA,6,2,1,328
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10821,BWI,L,"Baltimore, MD",MD,503,196,92,63
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10980,CHA,S,"Chattanooga, TN",TN,1,,,1
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11057,CLT,L,"Charlotte, NC",NC,4,1,,2
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11085,CNM,,"Carlsbad, NM",NM,619,587,444,604
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11109,COS,S,"Colorado Springs, CO",CO,1,2,7,2
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11140,CRP,N,"Corpus Christi, TX",TX,1,,1,2
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11150,CSG,N,"Columbus, GA",GA,1,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11197,CVN,,"Clovis, NM",NM,12,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11259,DAL,M,"Dallas, TX",TX,1666,1191,1128,1451
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11292,DEN,L,"Denver, CO",CO,2710,1967,2100,2424
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11298,DFW,L,"Dallas/Fort Worth, TX",TX,2666,1897,2347,2159
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11413,DRO,N,"Durango, CO",CO,2,3,2,3
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11423,DSM,S,"Des Moines, IA",IA,1,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11433,DTW,L,"Detroit, MI",MI,1,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11540,ELP,S,"El Paso, TX",TX,8,2,10,4
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11618,EWR,L,"Newark, NJ",NJ,1,1,,1
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11637,FAR,S,"Fargo, ND",ND,1,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11695,FLG,N,"Flagstaff, AZ",AZ,1,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11921,GJT,N,"Grand Junction, CO",CO,3,,2,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11982,GRK,N,"Killeen, TX",TX,1,,1,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12012,GUC,N,"Gunnison, CO",CO,1,,0,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12191,HOU,M,"Houston, TX",TX,1029,334,722,710
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12206,HRL,S,"Harlingen/San Benito, TX",TX,1,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12264,IAD,L,"Washington, DC",VA,1,,,1
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12266,IAH,L,"Houston, TX",TX,1420,817,1193,1194
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12339,IND,M,"Indianapolis, IN",IN,4,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12478,JFK,L,"New York, NY",NY,300,104,200,324
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12889,LAS,L,"Las Vegas, NV",NV,1376,890,907,1325
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12891,LAW,N,"Lawton/Fort Sill, OK",OK,1,,1,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12892,LAX,L,"Los Angeles, CA",CA,2535,1089,1748,2280
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12896,LBB,S,"Lubbock, TX",TX,3,,2,1
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12915,LCH,N,"Lake Charles, LA",LA,1,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12954,LGB,S,"Long Beach, CA",CA,3,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13158,MAF,S,"Midland/Odessa, TX",TX,5,,1,2
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13198,MCI,M,"Kansas City, MO",MO,344,80,6,2
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13204,MCO,L,"Orlando, FL",FL,61,3,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13232,MDW,L,"Chicago, IL",IL,598,446,389,406
