category,1Q2019,2Q2019,3Q2019,4Q2019,1Q2020,2Q2020,3Q2020,4Q2020,1Q2021,2Q2021,3Q2021,4Q2021,1Q2022,2Q2022,3Q2022,4Q2022
more than 5 million,142263481,163635585,164191972,158477409,119508115,20491734,54950451,63224580,67311348,119506797,138049573,138268852,121185986,151760892,152621304,149814984
1-5 million,25458804,29221108,28233720,28040790,21282297,3899972,9534290,10888271,11899370,21728717,24604057,24991687,22494923,27594959,27119676,26422944
100k-1 million,10599206,12114825,12589034,11884789,9588033,1891921,5037708,5380728,5965291,10080419,12034755,10910731,10161975,11857999,12163706,11107705
10k-100k,986384,1175946,1318217,1186170,887719,170993,506075,500853,508168,900821,1150288,1024874,905730,1092179,1202792,1020039
less than 10k,6643,8289,11172,9434,7812,1232,4840,4265,5498,8639,11841,16186,24335,23541,20934,17627
