ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,DEST_AIRPORT_ID,DEST,hub_cat_dest,NAME_DEST,DEST_STATE_ABR,2019,2020,2021,2022
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14685,SAV,S,Savannah/Hilton Head International,GA,50.0,40.0,46.0,20.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14711,SCE,N,University Park,PA,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14730,SDF,S,Louisville Muhammad Ali International,KY,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14761,SFB,S,Orlando Sanford International,FL,508.0,333.0,518.0,563.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15096,SYR,S,Syracuse Hancock International,NY,1.0,,1.0,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15412,TYS,S,McGhee Tyson,TN,2.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15919,XNA,S,Northwest Arkansas National,AR,2.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11150,CSG,N,Columbus Airport,GA,,1.0,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,13232,MDW,L,Chicago Midway International,IL,,21.0,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14122,PIT,M,Pittsburgh International,PA,,1.0,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14986,SRQ,S,Sarasota/Bradenton International,FL,,47.0,68.0,107.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15323,TRI,N,Tri Cities,TN,,1.0,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,10577,BGM,N,Greater Binghamton/Edwin A. Link Field,NY,,,1.0,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,12323,ILM,S,Wilmington International,NC,,,1.0,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,13230,MDT,S,Harrisburg International,PA,,,1.0,3.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,13795,OAJ,N,Albert J Ellis,NC,,,1.0,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14027,PBI,M,Palm Beach International,FL,,,1.0,1.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14696,SBN,S,South Bend International,IN,,,1.0,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,10721,BOS,L,Logan International,MA,,,,1.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,12451,JAX,M,Jacksonville International,FL,,,,1.0
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,10155,ACT,N,Waco Regional,TX,1.0,1.0,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,10423,AUS,L,Austin - Bergstrom International,TX,2.0,,2.0,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,11259,DAL,M,Dallas Love Field,TX,1.0,,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,11298,DFW,L,Dallas/Fort Worth International,TX,2304.0,1558.0,1958.0,1918.0
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,11980,GRI,N,Central Nebraska Regional,NE,1.0,,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,12266,IAH,L,George Bush Intercontinental/Houston,TX,1.0,135.0,428.0,2.0
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,12478,JFK,L,John F. Kennedy International,NY,1.0,,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,14107,PHX,L,Phoenix Sky Harbor International,AZ,1.0,,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,14689,SBA,S,Santa Barbara Municipal,CA,,1.0,,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,11109,COS,S,City of Colorado Springs Municipal,CO,,,1.0,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,12896,LBB,S,Lubbock Preston Smith International,TX,,,1.0,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,13158,MAF,S,Midland International Air and Space Port,TX,,,2.0,
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,14842,SJT,N,San Angelo Regional/Mathis Field,TX,,,2.0,2.0
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,10194,AFW,,,TX,,,,1.0
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,11982,GRK,N,Robert Gray AAF,TX,,,,1.0
