ORIGIN_AIRPORT_ID,NAME,AIRCRAFT_TYPE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
15376,"Tucson, AZ: Tucson International",698.0,101.0,80.0,103.0,127.0,124.0,92.0,90.0,100.0,90.0,82.0,3.0,19.0,1011.0
15376,"Tucson, AZ: Tucson International",699.0,116.0,105.0,119.0,96.0,90.0,131.0,132.0,139.0,132.0,133.0,192.0,224.0,1609.0
15376,"Tucson, AZ: Tucson International",722.0,2.0,1.0,,1.0,,2.0,3.0,7.0,5.0,5.0,6.0,8.0,40.0
15376,"Tucson, AZ: Tucson International",888.0,3.0,13.0,37.0,48.0,34.0,17.0,22.0,21.0,27.0,23.0,19.0,17.0,281.0
15380,"Traverse City, MI: Cherry Capital",530.0,29.0,46.0,50.0,40.0,71.0,6.0,,91.0,36.0,13.0,1.0,,383.0
15380,"Traverse City, MI: Cherry Capital",629.0,59.0,60.0,88.0,107.0,70.0,152.0,105.0,102.0,87.0,67.0,51.0,104.0,1052.0
15380,"Traverse City, MI: Cherry Capital",631.0,3.0,,55.0,44.0,43.0,90.0,118.0,107.0,109.0,50.0,78.0,46.0,743.0
15380,"Traverse City, MI: Cherry Capital",638.0,12.0,,2.0,13.0,168.0,115.0,67.0,63.0,75.0,95.0,61.0,50.0,721.0
15380,"Traverse City, MI: Cherry Capital",673.0,28.0,14.0,4.0,1.0,103.0,217.0,235.0,165.0,140.0,91.0,34.0,16.0,1048.0
15380,"Traverse City, MI: Cherry Capital",675.0,69.0,57.0,30.0,39.0,31.0,58.0,53.0,55.0,34.0,53.0,28.0,41.0,548.0
15380,"Traverse City, MI: Cherry Capital",677.0,1.0,,1.0,,13.0,28.0,12.0,,21.0,3.0,,1.0,80.0
15380,"Traverse City, MI: Cherry Capital",694.0,17.0,21.0,27.0,26.0,24.0,25.0,34.0,20.0,10.0,20.0,22.0,28.0,274.0
15380,"Traverse City, MI: Cherry Capital",698.0,2.0,,1.0,,3.0,5.0,58.0,58.0,16.0,26.0,6.0,4.0,179.0
15381,"Thief River Falls, MN: Thief River Falls Regional",675.0,51.0,48.0,54.0,52.0,51.0,52.0,53.0,53.0,,,,,414.0
15385,"Twin Hills, AK: Twin Hills Airport",416.0,11.0,12.0,18.0,12.0,23.0,19.0,21.0,13.0,22.0,17.0,21.0,7.0,196.0
15389,"Twin Falls, ID: Joslin Field - Magic Valley Regional",629.0,83.0,72.0,83.0,80.0,105.0,119.0,117.0,114.0,115.0,109.0,61.0,29.0,1087.0
15389,"Twin Falls, ID: Joslin Field - Magic Valley Regional",631.0,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,3.0,13.0
15389,"Twin Falls, ID: Joslin Field - Magic Valley Regional",638.0,4.0,6.0,1.0,1.0,,,,1.0,,,,,13.0
15389,"Twin Falls, ID: Joslin Field - Magic Valley Regional",673.0,16.0,2.0,9.0,6.0,1.0,4.0,8.0,6.0,2.0,,,9.0,63.0
15401,"Texarkana, AR: Texarkana Regional-Webb Field",675.0,54.0,39.0,28.0,32.0,69.0,79.0,76.0,87.0,84.0,89.0,86.0,104.0,827.0
15401,"Texarkana, AR: Texarkana Regional-Webb Field",676.0,36.0,23.0,52.0,58.0,17.0,10.0,16.0,2.0,,,,,214.0
15411,"Tyler, TX: Tyler Pounds Regional",675.0,107.0,66.0,132.0,72.0,99.0,97.0,94.0,106.0,93.0,103.0,116.0,137.0,1222.0
15411,"Tyler, TX: Tyler Pounds Regional",676.0,12.0,12.0,6.0,40.0,14.0,10.0,14.0,4.0,,,,,112.0
15412,"Knoxville, TN: McGhee Tyson",530.0,20.0,28.0,52.0,52.0,58.0,56.0,61.0,1.0,67.0,58.0,,,453.0
15412,"Knoxville, TN: McGhee Tyson",629.0,35.0,30.0,21.0,41.0,54.0,62.0,129.0,315.0,112.0,130.0,150.0,181.0,1260.0
15412,"Knoxville, TN: McGhee Tyson",631.0,139.0,116.0,156.0,153.0,149.0,238.0,221.0,210.0,241.0,248.0,208.0,250.0,2329.0
15412,"Knoxville, TN: McGhee Tyson",638.0,387.0,360.0,539.0,488.0,523.0,422.0,444.0,389.0,356.0,443.0,380.0,344.0,5075.0
15412,"Knoxville, TN: McGhee Tyson",673.0,34.0,17.0,25.0,30.0,76.0,101.0,93.0,69.0,65.0,60.0,165.0,113.0,848.0
15412,"Knoxville, TN: McGhee Tyson",675.0,179.0,140.0,200.0,267.0,293.0,261.0,274.0,276.0,250.0,286.0,231.0,279.0,2936.0
15412,"Knoxville, TN: McGhee Tyson",694.0,92.0,127.0,190.0,162.0,168.0,215.0,205.0,174.0,183.0,220.0,173.0,170.0,2079.0
15412,"Knoxville, TN: McGhee Tyson",722.0,4.0,4.0,8.0,6.0,7.0,7.0,6.0,6.0,7.0,13.0,15.0,16.0,99.0
15446,"Uganik, AK: Uganik Airport",40.0,4.0,1.0,5.0,3.0,6.0,5.0,7.0,7.0,5.0,4.0,5.0,3.0,55.0
15448,"Ugashik, AK: Ugashik Airport",35.0,12.0,12.0,14.0,11.0,18.0,22.0,14.0,15.0,17.0,13.0,14.0,3.0,165.0
15448,"Ugashik, AK: Ugashik Airport",416.0,3.0,3.0,5.0,7.0,3.0,6.0,6.0,4.0,3.0,2.0,2.0,5.0,49.0
15454,"Quincy, IL: Quincy Regional-Baldwin Field",125.0,147.0,122.0,154.0,162.0,165.0,164.0,159.0,166.0,160.0,144.0,151.0,147.0,1841.0
15478,"Unalakleet, AK: Unalakleet Airport",35.0,8.0,20.0,3.0,4.0,10.0,19.0,24.0,47.0,14.0,6.0,27.0,20.0,202.0
15478,"Unalakleet, AK: Unalakleet Airport",194.0,5.0,10.0,2.0,,1.0,,1.0,,3.0,3.0,1.0,,26.0
