ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,total_2019,total_2022,total_50s_2019,pct_50_2019,total_50s_2022,pct_50_2022
12223,WV,HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field",1564.0,1119.0,0.0,0.0,0.0,0.0
11577,PA,ERI,"Erie, PA: Erie International/Tom Ridge Field",2539.0,1386.0,2533.0,99.76368649074439,1239.0,89.39393939393939
11577,PA,ERI,"Erie, PA: Erie International/Tom Ridge Field",2539.0,1386.0,0.0,0.0,0.0,0.0
12094,CO,HDN,"Hayden, CO: Yampa Valley",1731.0,2465.0,0.0,0.0,0.0,0.0
12094,CO,HDN,"Hayden, CO: Yampa Valley",1731.0,2465.0,854.0,49.33564413633738,15.0,0.6085192697768762
11067,IL,CMI,"Champaign/Urbana, IL: University of Illinois/Willard",2810.0,1491.0,0.0,0.0,0.0,0.0
11067,IL,CMI,"Champaign/Urbana, IL: University of Illinois/Willard",2810.0,1491.0,2785.0,99.11032028469751,1423.0,95.439302481556
14794,UT,SGU,"St. George, UT: St George Regional",2600.0,2855.0,2486.0,95.61538461538461,1678.0,58.774080560420316
14794,UT,SGU,"St. George, UT: St George Regional",2600.0,2855.0,0.0,0.0,0.0,0.0
14716,CA,SCK,"Stockton, CA: Stockton Metro",1032.0,599.0,273.0,26.453488372093027,0.0,0.0
14716,CA,SCK,"Stockton, CA: Stockton Metro",1032.0,599.0,0.0,0.0,0.0,0.0
16218,AZ,YUM,"Yuma, AZ: Yuma MCAS/Yuma International",1932.0,1651.0,13.0,0.6728778467908902,0.0,0.0
16218,AZ,YUM,"Yuma, AZ: Yuma MCAS/Yuma International",1932.0,1651.0,0.0,0.0,0.0,0.0
11122,WY,CPR,"Casper, WY: Casper/Natrona County International",2311.0,1766.0,1806.0,78.14798788403289,1443.0,81.71007927519818
11122,WY,CPR,"Casper, WY: Casper/Natrona County International",2311.0,1766.0,0.0,0.0,0.0,0.0
13933,MA,ORH,"Worcester, MA: Worcester Regional",1666.0,1618.0,594.0,35.65426170468187,2.0,0.12360939431396785
13933,MA,ORH,"Worcester, MA: Worcester Regional",1666.0,1618.0,0.0,0.0,0.0,0.0
13076,WI,LSE,"La Crosse, WI: La Crosse Regional",2151.0,1398.0,0.0,0.0,0.0,0.0
13076,WI,LSE,"La Crosse, WI: La Crosse Regional",2151.0,1398.0,1587.0,73.77963737796374,1257.0,89.91416309012875
