ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category
10721,BOS,MA,Logan International,Boston,more than 5 million,no,loss,-11.6,at least -10%
10728,BPT,TX,Jack Brooks Regional,Beaumont/Port Arthur,10k-100k,no,loss,-18.6,at least -10%
10731,BQK,GA,Brunswick Golden Isles,Brunswick,10k-100k,no,loss,-15.9,at least -10%
10739,BRD,MN,Brainerd Lakes Regional,Brainerd,10k-100k,yes,gain,14,at least 10%
10744,BRL,IA,Southeast Iowa Regional,Burlington,less than 10k,yes,loss,-44.8,at least -30%
10747,BRO,TX,Brownsville South Padre Island International,Brownsville,100k-1 million,no,loss,-14,at least -10%
10778,BTL,MI,Battle Creek Executive at Kellogg Field,Battle Creek,less than 10k,no,loss,-100,at least -30%
10779,BTM,MT,Bert Mooney,Butte,10k-100k,yes,loss,-10.6,at least -10%
10781,BTR,LA,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,100k-1 million,no,loss,-28,at least -20%
10785,BTV,VT,Burlington International,Burlington,100k-1 million,no,loss,-22.3,at least -20%
10792,BUF,NY,Buffalo Niagara International,Buffalo,1-5 million,no,loss,-27,at least -20%
10800,BUR,CA,Bob Hope,Burbank,1-5 million,no,gain,0.8,less than 10%
10821,BWI,MD,Baltimore/Washington International Thurgood Marshall,Baltimore,more than 5 million,no,loss,-20.8,at least -20%
10849,BZN,MT,Bozeman Yellowstone International,Bozeman,100k-1 million,no,gain,21.5,at least 20%
10857,C01,CA,Camarillo Airport,Camarillo,less than 10k,no,loss,-63.6,at least -30%
10868,CAE,SC,Columbia Metropolitan,Columbia,100k-1 million,no,loss,-26.4,at least -20%
10874,CAK,OH,Akron-Canton Regional,Akron,100k-1 million,no,loss,-49.4,at least -30%
10918,CDC,UT,Cedar City Regional,Cedar City,10k-100k,yes,loss,-18.4,at least -10%
10925,CDR,NE,Chadron Municipal,Chadron,less than 10k,yes,loss,-11.3,at least -10%
10930,CEC,CA,Jack McNamara Field,Crescent City,less than 10k,yes,loss,-12.4,at least -10%
10950,CEZ,CO,Cortez Municipal,Cortez,less than 10k,yes,loss,-20.8,at least -20%
10967,CGI,MO,Cape Girardeau Regional,Cape Girardeau,10k-100k,yes,loss,-33.6,at least -30%
10980,CHA,TN,Lovell Field,Chattanooga,100k-1 million,no,loss,-34.5,at least -30%
10990,CHO,VA,Charlottesville Albemarle,Charlottesville,100k-1 million,no,loss,-36,at least -30%
10994,CHS,SC,Charleston AFB/International,Charleston,1-5 million,no,loss,-2.2,less than -10%
11003,CID,IA,The Eastern Iowa,Cedar Rapids/Iowa City,100k-1 million,no,loss,-20.9,at least -20%
11013,CIU,MI,Chippewa County International,Sault Ste. Marie,10k-100k,yes,gain,6.3,less than 10%
11027,CKB,WV,North Central West Virginia,Clarksburg/Fairmont,10k-100k,yes,gain,14.6,at least 10%
11041,CLD,CA,McClellan-Palomar,Carlsbad,less than 10k,no,gain,,other
11042,CLE,OH,Cleveland-Hopkins International,Cleveland,1-5 million,no,loss,-25.3,at least -20%
11049,CLL,TX,Easterwood Field,College Station/Bryan,10k-100k,no,loss,-41.5,at least -30%
11057,CLT,NC,Charlotte Douglas International,Charlotte,more than 5 million,no,loss,-16.5,at least -10%
11066,CMH,OH,John Glenn Columbus International,Columbus,1-5 million,no,loss,-21.4,at least -20%
11067,CMI,IL,University of Illinois/Willard,Champaign/Urbana,100k-1 million,no,loss,-46.9,at least -30%
11076,CMX,MI,Houghton County Memorial,Hancock/Houghton,10k-100k,yes,loss,-6.7,less than -10%
11085,CNM,NM,Cavern City Air Terminal,Carlsbad,less than 10k,yes,loss,-4.1,less than -10%
