AIRCRAFT_TYPE,Description,AIRLINE_ID,UNIQUE_CARRIER_NAME,2019,2020,2021,2022
698,Airbus Industrie A319,19790.0,Delta Air Lines Inc.,70795.0,48288.0,51473.0,70371.0
698,Airbus Industrie A319,19805.0,American Airlines Inc.,161822.0,117045.0,134707.0,156364.0
698,Airbus Industrie A319,19977.0,United Air Lines Inc.,85155.0,50503.0,65602.0,92457.0
698,Airbus Industrie A319,20416.0,Spirit Air Lines,38877.0,18175.0,19648.0,35483.0
698,Airbus Industrie A319,20436.0,Frontier Airlines Inc.,10517.0,1880.0,1259.0,0.0
699,Airbus Industrie A321/Lr,19790.0,Delta Air Lines Inc.,119743.0,91841.0,154833.0,174913.0
699,Airbus Industrie A321/Lr,19805.0,American Airlines Inc.,250864.0,143996.0,207423.0,248029.0
699,Airbus Industrie A321/Lr,20409.0,JetBlue Airways,52669.0,31354.0,37792.0,48636.0
699,Airbus Industrie A321/Lr,20416.0,Spirit Air Lines,41448.0,24989.0,34408.0,39193.0
699,Airbus Industrie A321/Lr,20436.0,Frontier Airlines Inc.,27830.0,12763.0,24038.0,22682.0
721,Airbus Industrie A321-200n,19805.0,American Airlines Inc.,3327.0,9911.0,24452.0,46829.0
722,Airbus Industrie A320-200n,20436.0,Frontier Airlines Inc.,63254.0,56042.0,86227.0,107683.0
722,Airbus Industrie A320-200n,20416.0,Spirit Air Lines,17345.0,23427.0,45915.0,63538.0
723,A200-100 BD-500-1A10,19790.0,Delta Air Lines Inc.,19951.0,27653.0,40912.0,59794.0
838,Boeing B737 Max 800,19393.0,Southwest Airlines Co.,9351.0,0.0,35447.0,45110.0
838,Boeing B737 Max 800,19805.0,American Airlines Inc.,3072.0,6.0,20594.0,25928.0
888,Boeing 737-900ER,19790.0,Delta Air Lines Inc.,145119.0,88162.0,135312.0,141267.0
888,Boeing 737-900ER,19930.0,Alaska Airlines Inc.,75516.0,50679.0,71161.0,71273.0
888,Boeing 737-900ER,19977.0,United Air Lines Inc.,155815.0,67330.0,101109.0,122934.0
125,Cessna C-402/402A/402B,20253.0,Cape Air,56353.0,44648.0,52609.0,43617.0
614,Boeing 737-800,20422.0,Sun Country Airlines d/b/a MN Airlines,19300.0,11424.0,16389.0,19488.0
622,Boeing 757-200,19805.0,American Airlines Inc.,17900.0,5022.0,0.0,0.0
624,Boeing 767-400/ER,19977.0,United Air Lines Inc.,1021.0,472.0,1023.0,1797.0
626,Boeing 767-300/300ER,19805.0,American Airlines Inc.,5796.0,1540.0,0.0,0.0
626,Boeing 767-300/300ER,19977.0,United Air Lines Inc.,2231.0,2110.0,7517.0,3208.0
627,Boeing 777-200ER/200LR/233LR,19805.0,American Airlines Inc.,4633.0,3095.0,11074.0,3591.0
631,Canadair RJ-700,20398.0,Envoy Air,15543.0,0.0,0.0,0.0
634,Boeing 737-900,19930.0,Alaska Airlines Inc.,14003.0,4492.0,9473.0,11389.0
637,Boeing 777-300/300ER/333ER,19805.0,American Airlines Inc.,549.0,835.0,4539.0,1068.0
637,Boeing 777-300/300ER/333ER,19977.0,United Air Lines Inc.,429.0,550.0,2655.0,4090.0
638,Canadair CRJ 900,20500.0,GoJet Airlines LLC d/b/a United Express,11705.0,970.0,0.0,0.0
675,Embraer-145,20237.0,Trans States Airlines,72261.0,17123.0,0.0,0.0
675,Embraer-145,20445.0,CommuteAir LLC dba CommuteAir,55294.0,31586.0,74932.0,76612.0
676,Embraer-140,20398.0,Envoy Air,94324.0,38220.0,4958.0,0.0
694,Airbus Industrie A320-100/200,19930.0,Alaska Airlines Inc.,37806.0,21019.0,21962.0,24867.0
696,Airbus Industrie A330-200,19690.0,Hawaiian Airlines Inc.,5391.0,2482.0,4874.0,5927.0
698,Airbus Industrie A319,19930.0,Alaska Airlines Inc.,35248.0,2593.0,0.0,0.0
721,Airbus Industrie A321-200n,19930.0,Alaska Airlines Inc.,6651.0,6789.0,7592.0,7969.0
837,Boeing 787-10 Dreamliner,19977.0,United Air Lines Inc.,2055.0,1576.0,1187.0,2698.0
839,Boeing B737 Max 900,19977.0,United Air Lines Inc.,1974.0,0.0,26353.0,36473.0
887,B787-800 Dreamliner,19805.0,American Airlines Inc.,3239.0,2244.0,3753.0,2628.0
889,B787-900 Dreamliner,19805.0,American Airlines Inc.,1768.0,1496.0,3059.0,2446.0
455,Fairchild Metro 23,21879.0,Key Lime Air Corporation,363.0,628.0,624.0,1158.0
612,Boeing 737-700/700LR/Max 7,20422.0,Sun Country Airlines d/b/a MN Airlines,1585.0,1.0,502.0,257.0
632,Dornier 328 Jet,21879.0,Key Lime Air Corporation,2865.0,1520.0,2083.0,2732.0
638,Canadair CRJ 900,20378.0,Mesa Airlines Inc.,111597.0,61238.0,71273.0,52930.0
673,Embraer ERJ-175,21167.0,Compass Airlines,93520.0,14706.0,0.0,0.0
694,Airbus Industrie A320-100/200,20368.0,Allegiant Air,62813.0,55575.0,76462.0,81587.0
698,Airbus Industrie A319,20368.0,Allegiant Air,41692.0,28903.0,35629.0,31353.0
887,B787-800 Dreamliner,19977.0,United Air Lines Inc.,1081.0,1268.0,1417.0,722.0
889,B787-900 Dreamliner,19977.0,United Air Lines Inc.,613.0,1265.0,2601.0,2363.0
416,Cessna 208 Caravan,21618.0,"Southern Airways Express, dba Mokulele Airlines",16805.0,12817.0,11906.0,939.0
458,Beechcraft Super King Air,21599.0,Boutique Air,1825.0,2299.0,4738.0,1213.0
631,Canadair RJ-700,20366.0,ExpressJet Airlines LLC d/b/a aha!,138.0,0.0,0.0,0.0
416,Cessna 208 Caravan,21242.0,"Mokulele Flight Services, Inc.",1019.0,246.0,0.0,0.0
482,De Havilland DHC8-400 Dash-8,19687.0,Horizon Air,73211.0,49321.0,56923.0,43261.0
673,Embraer ERJ-175,19687.0,Horizon Air,46605.0,41683.0,48016.0,40123.0
696,Airbus Industrie A330-200,19805.0,American Airlines Inc.,2092.0,940.0,0.0,0.0
721,Airbus Industrie A321-200n,19690.0,Hawaiian Airlines Inc.,4513.0,1931.0,5287.0,5553.0
458,Beechcraft Super King Air,21894.0,"ADVANCED AIR, LLC",1508.0,1253.0,1283.0,1769.0
626,Boeing 767-300/300ER,19690.0,Hawaiian Airlines Inc.,14.0,0.0,0.0,0.0
674,Embraer-135,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,9118.0,7511.0,6922.0,8035.0
669,Bombardier Challenger 604/605,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,199.0,51.0,14.0,13.0
685,Cessna 510 Mustang/560XL Citation Excel,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,2.0,0.0,0.0,0.0
629,Canadair RJ-200ER /RJ-440,20378.0,Mesa Airlines Inc.,250.0,2.0,0.0,0.0
658,Bombardier BD-700 Global Express,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,3.0,0.0,0.0,0.0
441,Aerospatiale/Aeritalia ATR-42,20401.0,Silver Airways,2019.0,4759.0,6817.0,6090.0
456,Saab-Fairchild 340/B,20401.0,Silver Airways,12527.0,1099.0,150.0,0.0
403,Beech 99 Airliner,20257.0,Bemidji Airlines,160.0,221.0,115.0,117.0
404,Beech C99,20257.0,Bemidji Airlines,283.0,250.0,315.0,111.0
628,Canadair RJ-100/RJ-100ER,21712.0,Elite Airways LLC,91.0,0.0,0.0,0.0
629,Canadair RJ-200ER /RJ-440,21712.0,Elite Airways LLC,162.0,60.0,221.0,22.0
631,Canadair RJ-700,21712.0,Elite Airways LLC,337.0,62.0,421.0,69.0
458,Beechcraft Super King Air,21964.0,"Rectrix Aviation, Inc.",3962.0,0.0,0.0,0.0
416,Cessna 208 Caravan,21743.0,Tropic Ocean Airways LLC,6.0,41.0,26.0,3.0
