AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
19805,American Airlines Inc.,838,Boeing B737 Max 800,3072,6,20594,25928
19790,Delta Air Lines Inc.,888,Boeing 737-900ER,145119,88162,135312,141267
19930,Alaska Airlines Inc.,888,Boeing 737-900ER,75516,50679,71161,71273
19977,United Air Lines Inc.,888,Boeing 737-900ER,155815,67330,101109,122934
20253,Cape Air,125,Cessna C-402/402A/402B,56353,44648,52609,43617
20422,Sun Country Airlines d/b/a MN Airlines,614,Boeing 737-800,19300,11424,16389,19488
19805,American Airlines Inc.,622,Boeing 757-200,17900,5022,0,0
19977,United Air Lines Inc.,624,Boeing 767-400/ER,1021,472,1023,1797
19805,American Airlines Inc.,626,Boeing 767-300/300ER,5796,1540,0,0
19977,United Air Lines Inc.,626,Boeing 767-300/300ER,2231,2110,7517,3208
19805,American Airlines Inc.,627,Boeing 777-200ER/200LR/233LR,4633,3095,11074,3591
20398,Envoy Air,631,Canadair RJ-700,15543,0,0,0
19930,Alaska Airlines Inc.,634,Boeing 737-900,14003,4492,9473,11389
19805,American Airlines Inc.,637,Boeing 777-300/300ER/333ER,549,835,4539,1068
19977,United Air Lines Inc.,637,Boeing 777-300/300ER/333ER,429,550,2655,4090
20500,GoJet Airlines LLC d/b/a United Express,638,Canadair CRJ 900,11705,970,0,0
20237,Trans States Airlines,675,Embraer-145,73282,17123,0,0
20445,CommuteAir LLC dba CommuteAir,675,Embraer-145,55294,31586,74932,76612
20398,Envoy Air,676,Embraer-140,94324,38220,4958,0
19930,Alaska Airlines Inc.,694,Airbus Industrie A320-100/200,37806,21019,21962,24867
19690,Hawaiian Airlines Inc.,696,Airbus Industrie A330-200,5391,2482,4874,5927
19930,Alaska Airlines Inc.,698,Airbus Industrie A319,35248,2593,0,0
19930,Alaska Airlines Inc.,721,Airbus Industrie A321-200n,6651,6789,7592,7969
19977,United Air Lines Inc.,837,Boeing 787-10 Dreamliner,2055,1576,1187,2698
19977,United Air Lines Inc.,839,Boeing B737 Max 900,1974,0,26353,36473
19805,American Airlines Inc.,887,B787-800 Dreamliner,3239,2244,3753,2628
19805,American Airlines Inc.,889,B787-900 Dreamliner,1768,1496,3059,2446
21879,Key Lime Air Corporation,455,Fairchild Metro 23,363,628,624,1158
20422,Sun Country Airlines d/b/a MN Airlines,612,Boeing 737-700/700LR/Max 7,1585,1,502,257
21879,Key Lime Air Corporation,632,Dornier 328 Jet,2865,1520,2083,2732
20378,Mesa Airlines Inc.,638,Canadair CRJ 900,111597,61238,71273,52930
21167,Compass Airlines,673,Embraer ERJ-175,93520,14706,0,0
20368,Allegiant Air,694,Airbus Industrie A320-100/200,62813,55575,76462,81587
20368,Allegiant Air,698,Airbus Industrie A319,41692,28903,35629,31353
19977,United Air Lines Inc.,887,B787-800 Dreamliner,1081,1268,1417,722
19977,United Air Lines Inc.,889,B787-900 Dreamliner,613,1265,2601,2363
21618,"Southern Airways Express, dba Mokulele Airlines",416,Cessna 208 Caravan,16805,12817,11906,939
21599,Boutique Air,458,Beechcraft Super King Air,1825,2299,4738,1213
20366,ExpressJet Airlines LLC d/b/a aha!,631,Canadair RJ-700,138,0,0,0
21242,"Mokulele Flight Services, Inc.",416,Cessna 208 Caravan,1019,246,0,0
19687,Horizon Air,482,De Havilland DHC8-400 Dash-8,73211,49321,56923,43261
19687,Horizon Air,673,Embraer ERJ-175,46605,41683,48016,40123
19805,American Airlines Inc.,696,Airbus Industrie A330-200,2092,940,0,0
19690,Hawaiian Airlines Inc.,721,Airbus Industrie A321-200n,4513,1931,5287,5553
21894,"ADVANCED AIR, LLC",458,Beechcraft Super King Air,1508,1253,1283,1769
19690,Hawaiian Airlines Inc.,626,Boeing 767-300/300ER,14,0,0,0
21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,674,Embraer-135,9118,7511,6922,8035
21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,669,Bombardier Challenger 604/605,199,51,14,13
21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,685,Cessna 510 Mustang/560XL Citation Excel,2,0,0,0
20378,Mesa Airlines Inc.,629,Canadair RJ-200ER /RJ-440,250,2,0,0
21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,658,Bombardier BD-700 Global Express,3,0,0,0
20401,Silver Airways,441,Aerospatiale/Aeritalia ATR-42,2019,4759,6817,6090
20401,Silver Airways,456,Saab-Fairchild 340/B,12527,1099,150,0
20257,Bemidji Airlines,403,Beech 99 Airliner,160,221,115,117
20257,Bemidji Airlines,404,Beech C99,283,250,315,111
21712,Elite Airways LLC,628,Canadair RJ-100/RJ-100ER,91,0,0,0
21712,Elite Airways LLC,629,Canadair RJ-200ER /RJ-440,162,60,221,22
21712,Elite Airways LLC,631,Canadair RJ-700,337,62,421,69
21964,"Rectrix Aviation, Inc.",458,Beechcraft Super King Air,3962,0,0,0
21743,Tropic Ocean Airways LLC,416,Cessna 208 Caravan,6,41,26,3
20401,Silver Airways,442,Aerospatiale/Aeritalia ATR-72,107,1119,2793,3114
21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,469,British Aerospace Jetstream 31,732,0,0,0
21477,Via Airlines d/b/a Sterling Airways,675,Embraer-145,418,0,0,0
21894,"ADVANCED AIR, LLC",479,Pilatus PC-12,1406,739,623,1142
21636,Gem Air LLC,35,Cessna C206/207/209/210 Stationair,63,36,22,0
21636,Gem Air LLC,36,Cessna 172 Skyhawk,4,7,3,0
21636,Gem Air LLC,194,Piper PA-31 (Navajo)/T-1020,30,23,20,0
21636,Gem Air LLC,195,Piper PA-34/39 (Twin Commanche),13,6,6,0
