ORIGIN_AIRPORT_ID,NAME,AIRCRAFT_TYPE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10042,"Kiluda Bay, AK: Kiluda Bay Airport",33.0,1.0,,,,,,,,,,,,1.0
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",33.0,6.0,1.0,4.0,6.0,10.0,3.0,5.0,,3.0,2.0,6.0,7.0,53.0
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",40.0,10.0,11.0,10.0,11.0,22.0,34.0,37.0,,21.0,15.0,10.0,8.0,189.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",608.0,26.0,28.0,31.0,30.0,8.0,32.0,31.0,31.0,29.0,32.0,29.0,21.0,328.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",629.0,138.0,130.0,148.0,142.0,135.0,162.0,161.0,173.0,122.0,135.0,85.0,60.0,1591.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",631.0,1.0,3.0,7.0,8.0,83.0,21.0,7.0,5.0,2.0,25.0,9.0,2.0,173.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",638.0,119.0,111.0,143.0,140.0,126.0,133.0,136.0,136.0,140.0,142.0,130.0,135.0,1591.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",673.0,1.0,,,7.0,1.0,3.0,,2.0,47.0,9.0,,1.0,71.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",675.0,58.0,55.0,59.0,155.0,81.0,142.0,169.0,164.0,149.0,154.0,136.0,124.0,1446.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",694.0,47.0,50.0,63.0,82.0,66.0,74.0,80.0,86.0,45.0,61.0,61.0,68.0,783.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",698.0,8.0,19.0,42.0,23.0,29.0,51.0,60.0,40.0,20.0,27.0,29.0,23.0,371.0
10136,"Abilene, TX: Abilene Regional",675.0,34.0,34.0,35.0,35.0,46.0,42.0,71.0,83.0,41.0,33.0,44.0,50.0,548.0
10136,"Abilene, TX: Abilene Regional",676.0,134.0,119.0,132.0,125.0,151.0,157.0,135.0,130.0,155.0,174.0,146.0,144.0,1702.0
10139,"Ambler, AK: Ambler River",194.0,18.0,3.0,9.0,9.0,7.0,20.0,15.0,14.0,11.0,6.0,9.0,8.0,129.0
10139,"Ambler, AK: Ambler River",405.0,1.0,,,,,,,,,,,,1.0
10139,"Ambler, AK: Ambler River",415.0,55.0,34.0,49.0,38.0,47.0,48.0,41.0,43.0,56.0,49.0,42.0,51.0,553.0
10139,"Ambler, AK: Ambler River",416.0,27.0,16.0,34.0,37.0,44.0,30.0,40.0,32.0,28.0,35.0,29.0,29.0,381.0
10140,"Albuquerque, NM: Albuquerque International Sunport",458.0,64.0,68.0,75.0,73.0,76.0,72.0,85.0,75.0,75.0,76.0,71.0,74.0,884.0
10140,"Albuquerque, NM: Albuquerque International Sunport",479.0,59.0,48.0,51.0,49.0,54.0,43.0,55.0,61.0,52.0,56.0,55.0,55.0,638.0
