ORIGIN_AIRPORT_ID,NAME,AIRCRAFT_TYPE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",33.0,4.0,,,,,,,,,,,,4.0
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",40.0,11.0,15.0,18.0,10.0,14.0,26.0,37.0,34.0,26.0,20.0,13.0,16.0,240.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",530.0,57.0,57.0,59.0,29.0,3.0,,,,,,30.0,29.0,264.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",608.0,25.0,29.0,23.0,,,,,,,,,,77.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",629.0,85.0,81.0,61.0,52.0,27.0,29.0,34.0,62.0,60.0,84.0,78.0,98.0,751.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",631.0,12.0,8.0,12.0,,25.0,30.0,8.0,10.0,2.0,3.0,5.0,12.0,127.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",638.0,129.0,118.0,106.0,41.0,35.0,36.0,47.0,82.0,76.0,99.0,108.0,112.0,989.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",675.0,108.0,112.0,106.0,54.0,22.0,22.0,29.0,31.0,30.0,26.0,24.0,25.0,589.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",676.0,1.0,1.0,,,,,,,,,,,2.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",694.0,47.0,90.0,91.0,8.0,40.0,62.0,102.0,80.0,56.0,85.0,66.0,69.0,796.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",698.0,31.0,23.0,10.0,1.0,3.0,10.0,12.0,9.0,5.0,3.0,7.0,3.0,117.0
10136,"Abilene, TX: Abilene Regional",631.0,1.0,,,,,,,,,,,,1.0
10136,"Abilene, TX: Abilene Regional",673.0,5.0,1.0,1.0,,1.0,,1.0,5.0,3.0,1.0,2.0,2.0,22.0
10136,"Abilene, TX: Abilene Regional",675.0,63.0,44.0,41.0,29.0,47.0,54.0,62.0,78.0,69.0,64.0,91.0,100.0,742.0
