ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
11122,CPR,WY,Casper/Natrona County International,Casper,97453,44620,67133,73019
11140,CRP,TX,Corpus Christi International,Corpus Christi,329034,160998,287829,320084
11146,CRW,WV,West Virginia International Yeager,Charleston/Dunbar,225609,91818,148370,163906
11150,CSG,GA,Columbus Airport,Columbus,52337,22396,48736,76963
11193,CVG,KY,Cincinnati/Northern Kentucky International,Cincinnati,4294130,1712782,3041284,3629527
11197,CVN,NM,Clovis Regional,Clovis,5374,2643,7575,13113
11203,CWA,WI,Central Wisconsin,Mosinee,138232,55870,97301,76686
11233,CYS,WY,Cheyenne Regional/Jerry Olson Field,Cheyenne,23276,3791,4161,21696
11252,DAB,FL,Daytona Beach International,Daytona Beach,336568,161067,273400,280402
11259,DAL,TX,Dallas Love Field,Dallas,8384847,3811898,6705426,8038533
11267,DAY,OH,James M Cox/Dayton International,Dayton,843696,316831,516127,556461
11274,DBQ,IA,Dubuque Regional,Dubuque,36521,11049,17995,14438
11278,DCA,VA,Ronald Reagan Washington National,Washington,11434096,3618383,6725931,11435615
11288,DEC,IL,Decatur Airport,Decatur,8485,3548,8872,16929
11292,DEN,CO,Denver International,Denver,32315710,15912077,27956210,32416349
11298,DFW,TX,Dallas/Fort Worth International,Dallas/Fort Worth,31234022,16971199,27119834,30651945
11308,DHN,AL,Dothan Regional,Dothan,58166,23858,37089,38315
11315,DIK,ND,Dickinson - Theodore Roosevelt Regional,Dickinson,23901,11377,17440,21606
11337,DLH,MN,Duluth International,Duluth,154380,64472,108425,117805
11413,DRO,CO,Durango La Plata County,Durango,195740,99509,205856,183470
11415,DRT,TX,Del Rio International,Del Rio,22439,8335,19879,26629
11423,DSM,IA,Des Moines International,Des Moines,1437514,636868,1067159,1381100
11433,DTW,MI,Detroit Metro Wayne County,Detroit,16310227,6394748,11036128,12671743
11447,DVL,ND,Devils Lake Regional,Devils Lake,9357,5291,8722,11361
11468,EAR,NE,Kearney Regional,Kearney,21309,11858,25253,22209
11470,EAT,WA,Pangborn Memorial,Wenatchee,64610,28095,48338,34830
11471,EAU,WI,Chippewa Valley Regional,Eau Claire,22590,9201,18600,16151
11481,ECP,FL,Northwest Florida Beaches International,Panama City,628337,404930,813011,755067
11503,EGE,CO,Eagle County Regional,Eagle,190743,143276,201305,214574
11525,EKO,NV,Elko Regional,Elko,19966,10351,15626,8443
11537,ELM,NY,Elmira/Corning Regional,Elmira/Corning,156385,51364,76920,81817
11540,ELP,TX,El Paso International,El Paso,1777859,729185,1426376,1918218
11577,ERI,PA,Erie International/Tom Ridge Field,Erie,106576,46272,68944,61825
11587,ESC,MI,Delta County,Escanaba,18726,8185,14780,20583
11603,EUG,OR,Mahlon Sweet Field,Eugene,591671,264709,561465,778187
11612,EVV,IN,Evansville Regional,Evansville,243029,104589,164932,152575
11617,EWN,NC,Coastal Carolina Regional,New Bern/Morehead/Beaufort,114204,56081,76291,64193
11618,EWR,NJ,Newark Liberty International,Newark,16091099,6106241,11282549,15498077
11624,EYW,FL,Key West International,Key West,483510,322862,723556,692845
11637,FAR,ND,Hector International,Fargo,475703,240933,403484,458530
11638,FAT,CA,Fresno Yosemite International,Fresno,828923,401726,830572,919158
11641,FAY,NC,Fayetteville Regional/Grannis Field,Fayetteville,217055,121203,186844,164879
11648,FCA,MT,Glacier Park International,Kalispell,355852,215618,418166,420742
11695,FLG,AZ,Flagstaff Pulliam,Flagstaff,119026,61199,114186,91347
11697,FLL,FL,Fort Lauderdale-Hollywood International,Fort Lauderdale,13786875,6629188,11677973,12305521
11699,FLO,SC,Florence Regional,Florence,43998,13598,23273,29340
11719,FNL,CO,Northern Colorado Regional,Fort Collins/Loveland,0,0,2671,10170
11721,FNT,MI,Bishop International,Flint,300978,176639,240510,299184
11762,FRD,WA,Friday Harbor Airport,Friday Harbor,11474,4308,10236,10311
11775,FSD,SD,Joe Foss Field,Sioux Falls,577065,293942,499374,604942
11778,FSM,AR,Fort Smith Regional,Fort Smith,92394,37042,46094,59914
11823,FWA,IN,Fort Wayne International,Fort Wayne,401815,214541,334677,358208
11865,GCC,WY,Northeast Wyoming Regional,Gillette,29480,15194,23816,24239
11867,GCK,KS,Garden City Regional,Garden City,25206,16121,27061,29230
11884,GEG,WA,Spokane International,Spokane,1950460,916469,1591262,1909019
11898,GFK,ND,Grand Forks International,Grand Forks,116079,46397,66613,87700
11905,GGG,TX,East Texas Regional,Longview,28806,14638,24064,26199
11921,GJT,CO,Grand Junction Regional,Grand Junction,262325,141537,261770,232197
11953,GNV,FL,Gainesville Regional,Gainesville,269915,123943,197311,262174
11973,GPT,MS,Gulfport-Biloxi International,Gulfport/Biloxi,285878,143565,218197,244101
11977,GRB,WI,Green Bay Austin Straubel International,Green Bay,340804,137587,258730,295416
11980,GRI,NE,Central Nebraska Regional,Grand Island,68856,36122,54759,64854
11982,GRK,TX,Robert Gray AAF,Killeen,145940,84535,128042,97760
