ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
10558,BFF,NE,Western Neb. Regional/William B. Heilig Field,Scottsbluff,668.0,674.0,672.0,789.0
10559,BFI,WA,Boeing Field/King County International,Seattle,1933.0,752.0,1357.0,1898.0
10561,BFL,CA,Meadows Field,Bakersfield,2439.0,1965.0,2665.0,2497.0
10562,BFM,AL,Mobile International,Mobile,154.0,40.0,1.0,0.0
10577,BGM,NY,Greater Binghamton/Edwin A. Link Field,Binghamton,951.0,425.0,364.0,376.0
10581,BGR,ME,Bangor International,Bangor,5600.0,2931.0,5037.0,5259.0
10589,BHB,ME,Hancock County-Bar Harbor,Bar Harbor,1067.0,956.0,1631.0,1398.0
10590,IFP,AZ,Laughlin/Bullhead International,Bullhead City,4.0,0.0,0.0,9.0
10599,BHM,AL,Birmingham-Shuttlesworth International,Birmingham,20631.0,11549.0,14377.0,14992.0
10613,BID,RI,Block Island State,Block Island,4132.0,3274.0,4026.0,3765.0
10617,BIH,CA,Bishop Airport,Bishop,0.0,0.0,45.0,334.0
10620,BIL,MT,Billings Logan International,Billings,10032.0,8998.0,10054.0,7459.0
10627,BIS,ND,Bismarck Municipal,Bismarck/Mandan,5295.0,3515.0,4144.0,3625.0
10631,BJI,MN,Bemidji Regional,Bemidji,964.0,915.0,971.0,849.0
10640,BKC,AK,Buckland Airport,Buckland,1252.0,762.0,864.0,911.0
10643,BKG,MO,Branson Airport,Branson,222.0,62.0,70.0,47.0
10654,BKW,WV,Raleigh County Memorial,Beckley,1096.0,1142.0,1339.0,1175.0
10661,BLD,NV,Boulder City Municipal,Boulder City,418.0,198.0,392.0,804.0
10666,BLI,WA,Bellingham International,Bellingham,3279.0,1438.0,2374.0,3618.0
10676,BLV,IL,Scott AFB MidAmerica St Louis,Belleville,1010.0,993.0,1270.0,1114.0
10683,BMG,IN,Monroe County,Bloomington,6.0,1.0,0.0,0.0
10685,BMI,IL,Central Il Regional Airport at Bloomington,Bloomington/Normal,3004.0,1889.0,2620.0,2571.0
10693,BNA,TN,Nashville International,Nashville,85202.0,58223.0,76248.0,88787.0
10697,BNF,AK,Warm Spring Bay Seaplane Base,Baranof,0.0,0.0,3.0,2.0
10713,BOI,ID,Boise Air Terminal,Boise,25687.0,18804.0,25010.0,26065.0
10721,BOS,MA,Logan International,Boston,168616.0,83787.0,106229.0,149074.0
10728,BPT,TX,Jack Brooks Regional,Beaumont/Port Arthur,961.0,646.0,939.0,782.0
10731,BQK,GA,Brunswick Golden Isles,Brunswick,1035.0,785.0,1030.0,870.0
10732,BQN,PR,Rafael Hernandez,Aguadilla,2314.0,517.0,1562.0,2325.0
10739,BRD,MN,Brainerd Lakes Regional,Brainerd,641.0,615.0,639.0,731.0
10744,BRL,IA,Southeast Iowa Regional,Burlington,1575.0,1292.0,1216.0,870.0
10747,BRO,TX,Brownsville South Padre Island International,Brownsville,2664.0,1765.0,2373.0,2292.0
10754,BRW,AK,Wiley Post/Will Rogers Memorial,Barrow,3459.0,2517.0,2566.0,2652.0
