category,1Q2020,change_between_1Q2019_and_1Q2020,pct_change_between_1Q2019_and_1Q2020,2Q2020,change_between_2Q2019_and_2Q2020,pct_change_between_2Q2019_and_2Q2020,3Q2020,change_between_3Q2019_and_3Q2020,pct_change_between_3Q2019_and_3Q2020,4Q2020,change_between_4Q2019_and_4Q2020,pct_change_between_4Q2019_and_4Q2020,1Q2021,change_between_1Q2020_and_1Q2021,pct_change_between_1Q2020_and_1Q2021,2Q2021,change_between_2Q2020_and_2Q2021,pct_change_between_2Q2020_and_2Q2021,3Q2021,change_between_3Q2020_and_3Q2021,pct_change_between_3Q2020_and_3Q2021,4Q2021,change_between_4Q2020_and_4Q2021,pct_change_between_4Q2020_and_4Q2021,1Q2022,change_between_1Q2021_and_1Q2022,pct_change_between_1Q2021_and_1Q2022,2Q2022,change_between_2Q2021_and_2Q2022,pct_change_between_2Q2021_and_2Q2022,3Q2022,change_between_3Q2021_and_3Q2022,pct_change_between_3Q2021_and_3Q2022,4Q2022,change_between_4Q2021_and_4Q2022,pct_change_between_4Q2021_and_4Q2022,1Q2019,2Q2019,3Q2019,4Q2019
more than 5 million,119508115,-22755366,-16.0,20491734,-143143851,-87.5,54950451,-109241521,-66.5,63224580,-95252829,-60.1,67311348,-52196767,-43.7,119506797,99015063,483.2,138049573,83099122,151.2,138268852,75044272,118.7,121185986,53874638,80.0,151760892,32254095,27.0,152621304,14571731,10.6,149814984,11546132,8.4,142263481,163635585,164191972,158477409
1-5 million,21282297,-4176507,-16.4,3899972,-25321136,-86.7,9534290,-18699430,-66.2,10888271,-17152519,-61.2,11899370,-9382927,-44.1,21728717,17828745,457.2,24604057,15069767,158.1,24991687,14103416,129.5,22494923,10595553,89.0,27594959,5866242,27.0,27119676,2515619,10.2,26422944,1431257,5.7,25458804,29221108,28233720,28040790
100k-1 million,9588033,-1011173,-9.5,1891921,-10222904,-84.4,5037708,-7551326,-60.0,5380728,-6504061,-54.7,5965291,-3622742,-37.8,10080419,8188498,432.8,12034755,6997047,138.9,10910731,5530003,102.8,10161975,4196684,70.4,11857999,1777580,17.6,12163706,128951,1.1,11107705,196974,1.8,10599206,12114825,12589034,11884789
10k-100k,887719,-98665,-10.0,170993,-1004953,-85.5,506075,-812142,-61.6,500853,-685317,-57.8,508168,-379551,-42.8,900821,729828,426.8,1150288,644213,127.3,1024874,524021,104.6,905730,397562,78.2,1092179,191358,21.2,1202792,52504,4.6,1020039,-4835,-0.5,986384,1175946,1318217,1186170
less than 10k,7812,1169,17.6,1232,-7057,-85.1,4840,-6332,-56.7,4265,-5169,-54.8,5498,-2314,-29.6,8639,7407,601.2,11841,7001,144.6,16186,11921,279.5,24335,18837,342.6,23541,14902,172.5,20934,9093,76.8,17627,1441,8.9,6643,8289,11172,9434
