category,2Q2019,3Q2019,4Q2019,1Q2020,2Q2020,3Q2020,4Q2020,1Q2021,2Q2021,3Q2021,4Q2021,1Q2022,2Q2022,3Q2022,4Q2022
more than 5 million,15.0,0.3,-3.5,-24.6,-82.9,168.2,15.1,6.5,77.5,15.5,0.2,-12.4,25.2,0.6,-1.8
1-5 million,14.8,-3.4,-0.7,-24.1,-81.7,144.5,14.2,9.3,82.6,13.2,1.6,-10.0,22.7,-1.7,-2.6
100k-1 million,14.3,3.9,-5.6,-19.3,-80.3,166.3,6.8,10.9,69.0,19.4,-9.3,-6.9,16.7,2.6,-8.7
10k-100k,19.2,12.1,-10.0,-25.2,-80.7,196.0,-1.0,1.5,77.3,27.7,-10.9,-11.6,20.6,10.1,-15.2
less than 10k,24.8,34.8,-15.6,-17.2,-84.2,292.9,-11.9,28.9,57.1,37.1,36.7,50.3,-3.3,-11.1,-15.8
