category,2Q2019,change_from_1Q2019_to_2Q2019,pct_change_from_1Q2019_to_2Q2019,3Q2019,change_from_2Q2019_to_3Q2019,pct_change_from_2Q2019_to_3Q2019,4Q2019,change_from_3Q2019_to_4Q2019,pct_change_from_3Q2019_to_4Q2019,1Q2020,change_from_4Q2019_to_1Q2020,pct_change_from_4Q2019_to_1Q2020,2Q2020,change_from_1Q2020_to_2Q2020,pct_change_from_1Q2020_to_2Q2020,3Q2020,change_from_2Q2020_to_3Q2020,pct_change_from_2Q2020_to_3Q2020,4Q2020,change_from_3Q2020_to_4Q2020,pct_change_from_3Q2020_to_4Q2020,1Q2021,change_from_4Q2020_to_1Q2021,pct_change_from_4Q2020_to_1Q2021,2Q2021,change_from_1Q2021_to_2Q2021,pct_change_from_1Q2021_to_2Q2021,3Q2021,change_from_2Q2021_to_3Q2021,pct_change_from_2Q2021_to_3Q2021,4Q2021,change_from_3Q2021_to_4Q2021,pct_change_from_3Q2021_to_4Q2021,1Q2022,change_from_4Q2021_to_1Q2022,pct_change_from_4Q2021_to_1Q2022,2Q2022,change_from_1Q2022_to_2Q2022,pct_change_from_1Q2022_to_2Q2022,3Q2022,change_from_2Q2022_to_3Q2022,pct_change_from_2Q2022_to_3Q2022,4Q2022,change_from_3Q2022_to_4Q2022,pct_change_from_3Q2022_to_4Q2022,1Q2019
more than 5 million,163635585,21372104,15.0,164191972,556387,0.3,158477409,-5714563,-3.5,119508115,-38969294,-24.6,20491734,-99016381,-82.9,54950451,34458717,168.2,63224580,8274129,15.1,67311348,4086768,6.5,119506797,52195449,77.5,138049573,18542776,15.5,138268852,219279,0.2,121185986,-17082866,-12.4,151760892,30574906,25.2,152621304,860412,0.6,149814984,-2806320,-1.8,142263481
1-5 million,29221108,3762304,14.8,28233720,-987388,-3.4,28040790,-192930,-0.7,21282297,-6758493,-24.1,3899972,-17382325,-81.7,9534290,5634318,144.5,10888271,1353981,14.2,11899370,1011099,9.3,21728717,9829347,82.6,24604057,2875340,13.2,24991687,387630,1.6,22494923,-2496764,-10.0,27594959,5100036,22.7,27119676,-475283,-1.7,26422944,-696732,-2.6,25458804
100k-1 million,12114825,1515619,14.3,12589034,474209,3.9,11884789,-704245,-5.6,9588033,-2296756,-19.3,1891921,-7696112,-80.3,5037708,3145787,166.3,5380728,343020,6.8,5965291,584563,10.9,10080419,4115128,69.0,12034755,1954336,19.4,10910731,-1124024,-9.3,10161975,-748756,-6.9,11857999,1696024,16.7,12163706,305707,2.6,11107705,-1056001,-8.7,10599206
10k-100k,1175946,189562,19.2,1318217,142271,12.1,1186170,-132047,-10.0,887719,-298451,-25.2,170993,-716726,-80.7,506075,335082,196.0,500853,-5222,-1.0,508168,7315,1.5,900821,392653,77.3,1150288,249467,27.7,1024874,-125414,-10.9,905730,-119144,-11.6,1092179,186449,20.6,1202792,110613,10.1,1020039,-182753,-15.2,986384
less than 10k,8289,1646,24.8,11172,2883,34.8,9434,-1738,-15.6,7812,-1622,-17.2,1232,-6580,-84.2,4840,3608,292.9,4265,-575,-11.9,5498,1233,28.9,8639,3141,57.1,11841,3202,37.1,16186,4345,36.7,24335,8149,50.3,23541,-794,-3.3,20934,-2607,-11.1,17627,-3307,-15.8,6643
