AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,AIRCRAFT_FAMILY,2019,2020,2021,2022
20397.0,PSA Airlines Inc.,631,Canadair RJ-700,Bombardier CRJ,97899.0,75552.0,95069.0,80471.0
20500.0,GoJet Airlines LLC d/b/a United Express,631,Canadair RJ-700,Bombardier CRJ,61442.0,3694.0,0.0,0.0
20398.0,Envoy Air,631,Canadair RJ-700,Bombardier CRJ,15543.0,0.0,0.0,0.0
20366.0,ExpressJet Airlines LLC d/b/a aha!,631,Canadair RJ-700,Bombardier CRJ,138.0,0.0,0.0,0.0
21712.0,Elite Airways LLC,631,Canadair RJ-700,Bombardier CRJ,337.0,62.0,421.0,69.0
19977.0,United Air Lines Inc.,634,Boeing 737-900,Boeing 737,11805.0,2618.0,144.0,10855.0
19930.0,Alaska Airlines Inc.,634,Boeing 737-900,Boeing 737,14003.0,4492.0,9473.0,11389.0
20363.0,Endeavor Air Inc.,638,Canadair CRJ 900,Bombardier CRJ,177494.0,142438.0,170521.0,155398.0
20397.0,PSA Airlines Inc.,638,Canadair CRJ 900,Bombardier CRJ,124961.0,101799.0,125720.0,127895.0
20304.0,SkyWest Airlines Inc.,638,Canadair CRJ 900,Bombardier CRJ,72423.0,46220.0,69086.0,66427.0
20500.0,GoJet Airlines LLC d/b/a United Express,638,Canadair CRJ 900,Bombardier CRJ,11705.0,970.0,0.0,0.0
20378.0,Mesa Airlines Inc.,638,Canadair CRJ 900,Bombardier CRJ,111597.0,61238.0,71273.0,52930.0
21712.0,Elite Airways LLC,638,Canadair CRJ 900,Bombardier CRJ,0.0,0.0,261.0,29.0
19790.0,Delta Air Lines Inc.,655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,MD-series,128503.0,22143.0,0.0,0.0
19805.0,American Airlines Inc.,655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,MD-series,28317.0,0.0,0.0,0.0
19790.0,Delta Air Lines Inc.,656,McDonnell Douglas MD-90,MD-series,54297.0,9052.0,0.0,0.0
20304.0,SkyWest Airlines Inc.,673,Embraer ERJ-175,Embraer E-jet,231640.0,222798.0,313375.0,334080.0
20378.0,Mesa Airlines Inc.,673,Embraer ERJ-175,Embraer E-jet,77243.0,51498.0,83455.0,58267.0
20398.0,Envoy Air,673,Embraer ERJ-175,Embraer E-jet,93517.0,88743.0,140199.0,147367.0
20452.0,Republic Airline,673,Embraer ERJ-175,Embraer E-jet,222172.0,160891.0,281153.0,259444.0
20366.0,ExpressJet Airlines LLC d/b/a aha!,673,Embraer ERJ-175,Embraer E-jet,9335.0,8238.0,0.0,0.0
21167.0,Compass Airlines,673,Embraer ERJ-175,Embraer E-jet,93520.0,14706.0,0.0,0.0
19687.0,Horizon Air,673,Embraer ERJ-175,Embraer E-jet,46605.0,41683.0,48016.0,40123.0
20366.0,ExpressJet Airlines LLC d/b/a aha!,675,Embraer-145,Embraer ERJ,113583.0,40875.0,402.0,1473.0
20427.0,Piedmont Airlines,675,Embraer-145,Embraer ERJ,118574.0,66995.0,98241.0,84140.0
20398.0,Envoy Air,675,Embraer-145,Embraer ERJ,113166.0,73613.0,103588.0,86530.0
20237.0,Trans States Airlines,675,Embraer-145,Embraer ERJ,72261.0,17123.0,0.0,0.0
20445.0,CommuteAir LLC dba CommuteAir,675,Embraer-145,Embraer ERJ,55294.0,31586.0,74932.0,76612.0
21477.0,Via Airlines d/b/a Sterling Airways,675,Embraer-145,Embraer ERJ,418.0,0.0,0.0,0.0
21879.0,Key Lime Air Corporation,675,Embraer-145,Embraer ERJ,0.0,367.0,2046.0,4210.0
21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,675,Embraer-145,Embraer ERJ,0.0,80.0,893.0,1905.0
20452.0,Republic Airline,677,Embraer-Emb-170,Embraer E-jet,99205.0,48759.0,46514.0,43157.0
20398.0,Envoy Air,677,Embraer-Emb-170,Embraer E-jet,0.0,0.0,1972.0,9223.0
19805.0,American Airlines Inc.,678,Embraer 190,Embraer E-jet,32122.0,6734.0,0.0,0.0
20409.0,JetBlue Airways,678,Embraer 190,Embraer E-jet,103243.0,33640.0,58124.0,79019.0
22080.0,Breeze Aviation Group DBA  Breeze,678,Embraer 190,Embraer E-jet,0.0,0.0,3476.0,5451.0
19790.0,Delta Air Lines Inc.,687,Airbus Industrie A330-300/333,Airbus A330,1433.0,1015.0,4555.0,2626.0
19805.0,American Airlines Inc.,687,Airbus Industrie A330-300/333,Airbus A330,618.0,485.0,0.0,0.0
19790.0,Delta Air Lines Inc.,694,Airbus Industrie A320-100/200,Airbus A319/A320,79726.0,38157.0,69587.0,81167.0
19805.0,American Airlines Inc.,694,Airbus Industrie A320-100/200,Airbus A319/A320,65688.0,43377.0,58590.0,65374.0
19977.0,United Air Lines Inc.,694,Airbus Industrie A320-100/200,Airbus A319/A320,119153.0,50097.0,56579.0,97756.0
20409.0,JetBlue Airways,694,Airbus Industrie A320-100/200,Airbus A319/A320,125341.0,63392.0,83097.0,104873.0
20416.0,Spirit Air Lines,694,Airbus Industrie A320-100/200,Airbus A319/A320,101107.0,62150.0,80889.0,81025.0
20436.0,Frontier Airlines Inc.,694,Airbus Industrie A320-100/200,Airbus A319/A320,30269.0,14435.0,21252.0,16832.0
19930.0,Alaska Airlines Inc.,694,Airbus Industrie A320-100/200,Airbus A319/A320,37806.0,21019.0,21962.0,24867.0
20368.0,Allegiant Air,694,Airbus Industrie A320-100/200,Airbus A319/A320,62813.0,55575.0,76462.0,81587.0
22080.0,Breeze Aviation Group DBA  Breeze,694,Airbus Industrie A320-100/200,Airbus A319/A320,0.0,0.0,0.0,51.0
19790.0,Delta Air Lines Inc.,696,Airbus Industrie A330-200,Airbus A330,170.0,108.0,3157.0,1346.0
19690.0,Hawaiian Airlines Inc.,696,Airbus Industrie A330-200,Airbus A330,5391.0,2482.0,4874.0,5927.0
19805.0,American Airlines Inc.,696,Airbus Industrie A330-200,Airbus A330,2092.0,940.0,0.0,0.0
19790.0,Delta Air Lines Inc.,698,Airbus Industrie A319,Airbus A319/A320,70795.0,48288.0,51473.0,70371.0
19805.0,American Airlines Inc.,698,Airbus Industrie A319,Airbus A319/A320,161822.0,117045.0,134707.0,156364.0
19977.0,United Air Lines Inc.,698,Airbus Industrie A319,Airbus A319/A320,85155.0,50503.0,65602.0,92457.0
20416.0,Spirit Air Lines,698,Airbus Industrie A319,Airbus A319/A320,38877.0,18175.0,19648.0,35483.0
20436.0,Frontier Airlines Inc.,698,Airbus Industrie A319,Airbus A319/A320,10517.0,1880.0,1259.0,0.0
19930.0,Alaska Airlines Inc.,698,Airbus Industrie A319,Airbus A319/A320,35248.0,2593.0,0.0,0.0
20368.0,Allegiant Air,698,Airbus Industrie A319,Airbus A319/A320,41692.0,28903.0,35629.0,31353.0
19790.0,Delta Air Lines Inc.,699,Airbus Industrie A321/Lr,Airbus A321,119743.0,91841.0,154833.0,174913.0
19805.0,American Airlines Inc.,699,Airbus Industrie A321/Lr,Airbus A321,250864.0,143996.0,207423.0,248029.0
20409.0,JetBlue Airways,699,Airbus Industrie A321/Lr,Airbus A321,52669.0,31354.0,37792.0,48636.0
20416.0,Spirit Air Lines,699,Airbus Industrie A321/Lr,Airbus A321,41448.0,24989.0,34408.0,39193.0
20436.0,Frontier Airlines Inc.,699,Airbus Industrie A321/Lr,Airbus A321,27830.0,12763.0,24038.0,22682.0
19805.0,American Airlines Inc.,721,Airbus Industrie A321-200n,Airbus A321,3327.0,9911.0,24452.0,46829.0
19930.0,Alaska Airlines Inc.,721,Airbus Industrie A321-200n,Airbus A321,6651.0,6789.0,7592.0,7969.0
19690.0,Hawaiian Airlines Inc.,721,Airbus Industrie A321-200n,Airbus A321,4513.0,1931.0,5287.0,5553.0
20409.0,JetBlue Airways,721,Airbus Industrie A321-200n,Airbus A321,0.0,776.0,8090.0,8158.0
19790.0,Delta Air Lines Inc.,721,Airbus Industrie A321-200n,Airbus A321,0.0,0.0,0.0,3907.0
20436.0,Frontier Airlines Inc.,721,Airbus Industrie A321-200n,Airbus A321,0.0,0.0,0.0,328.0
20436.0,Frontier Airlines Inc.,722,Airbus Industrie A320-200n,Airbus A319/A320,63254.0,56042.0,86227.0,107683.0
20416.0,Spirit Air Lines,722,Airbus Industrie A320-200n,Airbus A319/A320,17345.0,23427.0,45915.0,63538.0
19790.0,Delta Air Lines Inc.,723,A200-100 BD-500-1A10,Airbus A220,19951.0,27653.0,40912.0,59794.0
19393.0,Southwest Airlines Co.,838,Boeing B737 Max 800,Boeing 737 Max,9351.0,0.0,35447.0,45110.0
19805.0,American Airlines Inc.,838,Boeing B737 Max 800,Boeing 737 Max,3072.0,6.0,20594.0,25928.0
19977.0,United Air Lines Inc.,838,Boeing B737 Max 800,Boeing 737 Max,0.0,0.0,5357.0,21518.0
19790.0,Delta Air Lines Inc.,888,Boeing 737-900ER,Boeing 737,145119.0,88162.0,135312.0,141267.0
19930.0,Alaska Airlines Inc.,888,Boeing 737-900ER,Boeing 737,75516.0,50679.0,71161.0,71273.0
19977.0,United Air Lines Inc.,888,Boeing 737-900ER,Boeing 737,155815.0,67330.0,101109.0,122934.0
20253.0,Cape Air,125,Cessna C-402/402A/402B,Small twin turboprop,56353.0,44648.0,52609.0,43617.0
19805.0,American Airlines Inc.,637,Boeing 777-300/300ER/333ER,Boeing 777,549.0,835.0,4539.0,1068.0
19977.0,United Air Lines Inc.,637,Boeing 777-300/300ER/333ER,Boeing 777,429.0,550.0,2655.0,4090.0
20398.0,Envoy Air,676,Embraer-140,Embraer ERJ,94324.0,38220.0,4958.0,0.0
19977.0,United Air Lines Inc.,837,Boeing 787-10 Dreamliner,Boeing 787,2055.0,1576.0,1187.0,2698.0
19977.0,United Air Lines Inc.,839,Boeing B737 Max 900,Boeing 737 Max,1974.0,0.0,26353.0,36473.0
19930.0,Alaska Airlines Inc.,839,Boeing B737 Max 900,Boeing 737 Max,0.0,0.0,3539.0,22948.0
19805.0,American Airlines Inc.,887,B787-800 Dreamliner,Boeing 787,3239.0,2244.0,3753.0,2628.0
19977.0,United Air Lines Inc.,887,B787-800 Dreamliner,Boeing 787,1081.0,1268.0,1417.0,722.0
19805.0,American Airlines Inc.,889,B787-900 Dreamliner,Boeing 787,1768.0,1496.0,3059.0,2446.0
19977.0,United Air Lines Inc.,889,B787-900 Dreamliner,Boeing 787,613.0,1265.0,2601.0,2363.0
21879.0,Key Lime Air Corporation,455,Fairchild Metro 23,Small twin turboprop,363.0,628.0,624.0,1158.0
21879.0,Key Lime Air Corporation,632,Dornier 328 Jet,Dornier 328 Jet,2865.0,1520.0,2083.0,2732.0
21618.0,"Southern Airways Express, dba Mokulele Airlines",416,Cessna 208 Caravan,Single turboprop,16805.0,12817.0,11906.0,939.0
21242.0,"Mokulele Flight Services, Inc.",416,Cessna 208 Caravan,Single turboprop,1019.0,246.0,0.0,0.0
21743.0,Tropic Ocean Airways LLC,416,Cessna 208 Caravan,Single turboprop,6.0,41.0,26.0,3.0
21636.0,Gem Air LLC,416,Cessna 208 Caravan,Single turboprop,31.0,20.0,18.0,0.0
