ORIGIN_AIRPORT_ID,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",20443.0,Island Air Service,35.0,3.0,4.0,3.0,3.0,6.0,16.0,21.0,11.0,4.0,1.0,2.0,,74.0
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",20443.0,Island Air Service,40.0,5.0,6.0,18.0,19.0,39.0,61.0,68.0,46.0,16.0,15.0,21.0,8.0,322.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20046.0,Air Wisconsin Airlines Corp,629.0,665.0,638.0,968.0,1536.0,1903.0,1209.0,1198.0,2518.0,1436.0,3294.0,3366.0,2931.0,21662.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20304.0,SkyWest Airlines Inc.,629.0,196.0,,,,,,,,,,,,196.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20304.0,SkyWest Airlines Inc.,638.0,4.0,,,,,,,,,,62.0,,66.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20363.0,Endeavor Air Inc.,629.0,1003.0,1154.0,1685.0,2130.0,3062.0,2479.0,1495.0,1528.0,793.0,300.0,39.0,,15668.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20363.0,Endeavor Air Inc.,631.0,11.0,21.0,,10.0,,93.0,163.0,,,67.0,1584.0,158.0,2107.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20363.0,Endeavor Air Inc.,638.0,1186.0,1043.0,2243.0,3424.0,5454.0,7146.0,8187.0,8155.0,5722.0,8452.0,6105.0,7001.0,64118.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20368.0,Allegiant Air,694.0,4634.0,6287.0,10182.0,11665.0,13277.0,20960.0,24149.0,16753.0,8293.0,14391.0,14733.0,14946.0,160270.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20397.0,PSA Airlines Inc.,631.0,428.0,492.0,882.0,1508.0,605.0,2336.0,1638.0,593.0,238.0,747.0,560.0,132.0,10159.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20397.0,PSA Airlines Inc.,638.0,2685.0,2639.0,4021.0,3811.0,5249.0,3495.0,4592.0,5431.0,4202.0,5212.0,4604.0,4991.0,50932.0
