ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,656,McDonnell Douglas MD-90,24781,4511,,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20304,SkyWest Airlines Inc.,673,Embraer ERJ-175,554,762,772,850
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20378,Mesa Airlines Inc.,673,Embraer ERJ-175,1506,672,1479,1566
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20398,Envoy Air,673,Embraer ERJ-175,380,66,734,1340
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20452,Republic Airline,673,Embraer ERJ-175,4175,3766,11786,4864
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20366,ExpressJet Airlines LLC d/b/a aha!,673,Embraer ERJ-175,468,343,,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20366,ExpressJet Airlines LLC d/b/a aha!,675,Embraer-145,8,2,,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20427,Piedmont Airlines,675,Embraer-145,1,,1,1
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20398,Envoy Air,675,Embraer-145,1,,,1
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20452,Republic Airline,677,Embraer-Emb-170,1690,1131,680,448
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805,American Airlines Inc.,678,Embraer 190,1824,508,,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20409,JetBlue Airways,678,Embraer 190,822,539,1966,649
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,687,Airbus Industrie A330-300/333,362,457,1706,1048
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805,American Airlines Inc.,687,Airbus Industrie A330-300/333,3,,,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,694,Airbus Industrie A320-100/200,11416,7543,14768,22938
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805,American Airlines Inc.,694,Airbus Industrie A320-100/200,1501,642,592,804
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977,United Air Lines Inc.,694,Airbus Industrie A320-100/200,951,624,539,904
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20409,JetBlue Airways,694,Airbus Industrie A320-100/200,2478,1057,362,1064
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20416,Spirit Air Lines,694,Airbus Industrie A320-100/200,4959,3199,4572,3306
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20436,Frontier Airlines Inc.,694,Airbus Industrie A320-100/200,912,360,727,753
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,696,Airbus Industrie A330-200,8,52,1181,438
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,698,Airbus Industrie A319,1836,3853,5306,4770
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805,American Airlines Inc.,698,Airbus Industrie A319,3350,1887,2503,1699
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977,United Air Lines Inc.,698,Airbus Industrie A319,1334,945,769,1531
