category,total_2019,total_2020,total_2021,total_2022
more than 5 million,5807524,3448329,4485034,5025009
1-5 million,1224037,710302,932225,1028200
100k-1 million,751204,479598,635593,611711
10k-100k,153362,105672,133901,127777
less than 10k,4907,2953,2955,3925
