DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
14.00,120.00,YX,20452,Republic Airline,YX,11292,DEN,"Denver, CO",CO,14457,RAP,"Rapid City, SD",SD,677,4,F
14.00,122.00,WN,19393,Southwest Airlines Co.,WN,10423,AUS,"Austin, TX",TX,10821,BWI,"Baltimore, MD",MD,614,4,F
14.00,123.00,YV,20378,Mesa Airlines Inc.,YV,11996,GSP,"Greer, SC",SC,12264,IAD,"Washington, DC",VA,631,4,F
14.00,125.00,WN,19393,Southwest Airlines Co.,WN,10257,ALB,"Albany, NY",NY,10821,BWI,"Baltimore, MD",MD,614,4,F
14.00,125.00,WN,19393,Southwest Airlines Co.,WN,13296,MHT,"Manchester, NH",NH,13204,MCO,"Orlando, FL",FL,612,4,F
14.00,126.00,9E,20363,Endeavor Air Inc.,9E,12951,LFT,"Lafayette, LA",LA,10397,ATL,"Atlanta, GA",GA,629,4,F
14.00,126.00,WN,19393,Southwest Airlines Co.,WN,12889,LAS,"Las Vegas, NV",NV,10693,BNA,"Nashville, TN",TN,612,4,F
14.00,127.00,WN,19393,Southwest Airlines Co.,WN,11292,DEN,"Denver, CO",CO,14122,PIT,"Pittsburgh, PA",PA,612,4,F
14.00,128.00,UA,19977,United Air Lines Inc.,UA,11292,DEN,"Denver, CO",CO,11003,CID,"Cedar Rapids/Iowa City, IA",IA,694,4,F
14.00,128.00,UA,19977,United Air Lines Inc.,UA,11292,DEN,"Denver, CO",CO,14262,PSP,"Palm Springs, CA",CA,694,4,F
14.00,128.00,YX,20452,Republic Airline,YX,14100,PHL,"Philadelphia, PA",PA,14576,ROC,"Rochester, NY",NY,673,4,F
14.00,129.00,UA,19977,United Air Lines Inc.,UA,12889,LAS,"Las Vegas, NV",NV,14771,SFO,"San Francisco, CA",CA,614,4,F
14.00,129.00,WN,19393,Southwest Airlines Co.,WN,10800,BUR,"Burbank, CA",CA,11259,DAL,"Dallas, TX",TX,612,4,F
14.00,131.00,MQ,20398,Envoy Air,MQ,11298,DFW,"Dallas/Fort Worth, TX",TX,12206,HRL,"Harlingen/San Benito, TX",TX,676,4,F
14.00,133.00,WN,19393,Southwest Airlines Co.,WN,12889,LAS,"Las Vegas, NV",NV,13204,MCO,"Orlando, FL",FL,612,4,F
14.00,135.00,WN,19393,Southwest Airlines Co.,WN,12992,LIT,"Little Rock, AR",AR,12889,LAS,"Las Vegas, NV",NV,612,4,F
14.00,139.00,UA,19977,United Air Lines Inc.,UA,12264,IAD,"Washington, DC",VA,13931,ORF,"Norfolk, VA",VA,698,4,F
